ticker,accession,formType,filedAt,category
YETI,0001670592-24-000034,10-Q,2024-08-08,PRE_BACKFILL
YUM,0001041061-24-000033,10-Q,2024-08-08,PRE_BACKFILL
SMCI,0001375365-24-000031,NT 10-K,2024-08-30,PRE_BACKFILL
BLK,0001193125-24-218880,8-K,2024-09-13,PRE_BACKFILL
BLK,0001193125-24-229654,8-K,2024-10-01,PRE_BACKFILL
NXPI,0001413447-24-000089,10-Q,2024-11-05,PRE_BACKFILL
NVEE,0001628280-24-046455,NT 10-Q,2024-11-07,PRE_BACKFILL
TRMB,0000864749-24-000254,NT 10-Q,2024-11-07,PRE_BACKFILL
ORLY,0000898173-24-000043,10-Q,2024-11-08,PRE_BACKFILL
ACMR,0001140361-24-046185,8-K,2024-11-12,PRE_BACKFILL
ADM,0001193125-24-256030,NT 10-Q,2024-11-12,PRE_BACKFILL
ALT,0001326190-24-000047,8-K,2024-11-12,PRE_BACKFILL
ALT,0001326190-24-000046,8-K,2024-11-12,PRE_BACKFILL
ALT,0001326190-24-000050,10-Q,2024-11-12,PRE_BACKFILL
AMC,0001104659-24-116935,8-K,2024-11-12,PRE_BACKFILL
AMRX,0001723128-24-000044,8-K/A,2024-11-12,PRE_BACKFILL
AMRX,0001723128-24-000042,10-Q,2024-11-12,PRE_BACKFILL
AMRX,0001723128-24-000044,8-K/A,2024-11-12,PRE_BACKFILL
AMTX,0001437749-24-034337,8-K,2024-11-12,PRE_BACKFILL
AMTX,0001437749-24-034514,10-Q,2024-11-12,PRE_BACKFILL
ARMK,0001584509-24-000203,8-K,2024-11-12,PRE_BACKFILL
AWK,0001410636-24-000197,8-K,2024-11-12,PRE_BACKFILL
AXSM,0000950170-24-124546,8-K,2024-11-12,PRE_BACKFILL
AXSM,0000950170-24-124758,10-Q,2024-11-12,PRE_BACKFILL
AXTA,0001616862-24-000067,8-K,2024-11-12,PRE_BACKFILL
BAH,0001443646-24-000212,8-K,2024-11-12,PRE_BACKFILL
BAX,0001628280-24-047221,10-Q,2024-11-12,PRE_BACKFILL
BBIO,0000950170-24-124576,8-K,2024-11-12,PRE_BACKFILL
BBIO,0000950170-24-124577,10-Q,2024-11-12,PRE_BACKFILL
BEN,0000038777-24-000206,10-K,2024-11-12,PRE_BACKFILL
BJ,0001104659-24-116403,8-K,2024-11-12,PRE_BACKFILL
BR,0001383312-24-000054,8-K,2024-11-12,PRE_BACKFILL
CAH,0001193125-24-255062,8-K,2024-11-12,PRE_BACKFILL
CE,0001306830-24-000184,10-Q,2024-11-12,PRE_BACKFILL
CHGG,0001364954-24-000084,8-K,2024-11-12,PRE_BACKFILL
CHGG,0001364954-24-000085,10-Q,2024-11-12,PRE_BACKFILL
CMG,0001058090-24-000053,8-K,2024-11-12,PRE_BACKFILL
CPB,0000016732-24-000189,8-K,2024-11-12,PRE_BACKFILL
DLR,0001193125-24-255912,8-K,2024-11-12,PRE_BACKFILL
ELAN,0001104659-24-116942,8-K,2024-11-12,PRE_BACKFILL
EMR,0000032604-24-000041,10-K,2024-11-12,PRE_BACKFILL
FOUR,0001794669-24-000031,8-K,2024-11-12,PRE_BACKFILL
FOUR,0001794669-24-000033,10-Q,2024-11-12,PRE_BACKFILL
FTNT,0001262039-24-000045,8-K,2024-11-12,PRE_BACKFILL
G,0001398659-24-000100,10-Q,2024-11-12,PRE_BACKFILL
GILD,0000882095-24-000028,10-Q,2024-11-12,PRE_BACKFILL
GRPN,0001628280-24-047241,8-K,2024-11-12,PRE_BACKFILL
GRPN,0001628280-24-047250,10-Q,2024-11-12,PRE_BACKFILL
HPP,0001482512-24-000092,8-K,2024-11-12,PRE_BACKFILL
HPP,0001482512-24-000094,10-Q,2024-11-12,PRE_BACKFILL
HQY,0001428336-24-000104,8-K,2024-11-12,PRE_BACKFILL
HTZ,0001657853-24-000138,8-K,2024-11-12,PRE_BACKFILL
HTZ,0001657853-24-000136,10-Q,2024-11-12,PRE_BACKFILL
IAC,0001800227-24-000048,8-K,2024-11-12,PRE_BACKFILL
IAC,0001800227-24-000044,8-K,2024-11-12,PRE_BACKFILL
IAC,0001800227-24-000046,10-Q,2024-11-12,PRE_BACKFILL
IAS,0001842718-24-000109,8-K,2024-11-12,PRE_BACKFILL
IAS,0001842718-24-000111,10-Q,2024-11-12,PRE_BACKFILL
IBP,0001580905-24-000054,8-K,2024-11-12,PRE_BACKFILL
IDXX,0001104659-24-116365,8-K,2024-11-12,PRE_BACKFILL
INSP,0001609550-24-000055,8-K,2024-11-12,PRE_BACKFILL
LEVI,0001193125-24-255938,8-K,2024-11-12,PRE_BACKFILL
LYV,0001335258-24-000155,8-K,2024-11-12,PRE_BACKFILL
LYV,0001335258-24-000156,10-Q,2024-11-12,PRE_BACKFILL
MARA,0001493152-24-044817,8-K,2024-11-12,PRE_BACKFILL
MARA,0001628280-24-047148,10-Q,2024-11-12,PRE_BACKFILL
MIRM,0001759425-24-000037,8-K,2024-11-12,PRE_BACKFILL
MIRM,0001759425-24-000038,10-Q,2024-11-12,PRE_BACKFILL
MOH,0001437749-24-034559,8-K,2024-11-12,PRE_BACKFILL
MOS,0001628280-24-047321,8-K,2024-11-12,PRE_BACKFILL
MOS,0001628280-24-046819,8-K,2024-11-12,PRE_BACKFILL
MOS,0001618034-24-000019,10-Q,2024-11-12,PRE_BACKFILL
MPWR,0001437749-24-034352,8-K,2024-11-12,PRE_BACKFILL
MQ,0001522540-24-000017,8-K/A,2024-11-12,PRE_BACKFILL
MQ,0001522540-24-000017,8-K/A,2024-11-12,PRE_BACKFILL
MSTR,0001193125-24-255184,8-K,2024-11-12,PRE_BACKFILL
NFE,0001749723-24-000116,10-Q,2024-11-12,PRE_BACKFILL
NTRA,0001104659-24-116777,8-K,2024-11-12,PRE_BACKFILL
NTRA,0001558370-24-015325,10-Q,2024-11-12,PRE_BACKFILL
NVEE,0001628280-24-046858,10-Q,2024-11-12,PRE_BACKFILL
NVRO,0000950170-24-124689,10-Q,2024-11-12,PRE_BACKFILL
OXY,0001140361-24-046226,8-K,2024-11-12,PRE_BACKFILL
OXY,0000797468-24-000163,8-K,2024-11-12,PRE_BACKFILL
OXY,0000797468-24-000164,10-Q,2024-11-12,PRE_BACKFILL
PACB,0001299130-24-000185,8-K,2024-11-12,PRE_BACKFILL
PK,0001617406-24-000072,8-K,2024-11-12,PRE_BACKFILL
PLAY,0001628280-24-047366,10-Q/A,2024-11-12,PRE_BACKFILL
PLAY,0001628280-24-047366,10-Q/A,2024-11-12,PRE_BACKFILL
PRTA,0001559053-24-000034,8-K,2024-11-12,PRE_BACKFILL
PRTA,0001559053-24-000032,10-Q,2024-11-12,PRE_BACKFILL
QRVO,0001193125-24-255203,8-K,2024-11-12,PRE_BACKFILL
RARE,0000950170-24-124458,8-K,2024-11-12,PRE_BACKFILL
RGEN,0001193125-24-255167,8-K,2024-11-12,PRE_BACKFILL
RGEN,0001193125-24-255987,NT 10-Q,2024-11-12,PRE_BACKFILL
RIVN,0001193125-24-256108,8-K,2024-11-12,PRE_BACKFILL
RKLB,0000950170-24-125448,8-K,2024-11-12,PRE_BACKFILL
RKLB,0000950170-24-125529,10-Q,2024-11-12,PRE_BACKFILL
ROK,0001024478-24-000107,10-K,2024-11-12,PRE_BACKFILL
SAIC,0001193125-24-255241,8-K,2024-11-12,PRE_BACKFILL
SGRY,0001638833-24-000143,8-K,2024-11-12,PRE_BACKFILL
SGRY,0001638833-24-000147,10-Q,2024-11-12,PRE_BACKFILL
SHLS,0001831651-24-000122,8-K,2024-11-12,PRE_BACKFILL
SHLS,0001831651-24-000124,10-Q,2024-11-12,PRE_BACKFILL
SIBN,0001459839-24-000075,8-K,2024-11-12,PRE_BACKFILL
SIBN,0001459839-24-000077,10-Q,2024-11-12,PRE_BACKFILL
SMCI,0001375365-24-000039,NT 10-Q,2024-11-12,PRE_BACKFILL
SNDX,0000950170-24-124545,8-K,2024-11-12,PRE_BACKFILL
SPR,0001104659-24-116771,8-K,2024-11-12,PRE_BACKFILL
SPR,0001104659-24-116299,8-K,2024-11-12,PRE_BACKFILL
SWK,0001193125-24-255101,8-K,2024-11-12,PRE_BACKFILL
TEL,0001104659-24-116585,8-K,2024-11-12,PRE_BACKFILL
TEL,0001558370-24-015227,10-K,2024-11-12,PRE_BACKFILL
TMHC,0001193125-24-255972,8-K,2024-11-12,PRE_BACKFILL
TSN,0000100493-24-000118,8-K,2024-11-12,PRE_BACKFILL
TSN,0000100493-24-000119,10-K,2024-11-12,PRE_BACKFILL
VCTR,0000950170-24-124719,8-K,2024-11-12,PRE_BACKFILL
W,0001616707-24-000064,8-K,2024-11-12,PRE_BACKFILL
WERN,0000793074-24-000064,10-Q,2024-11-12,PRE_BACKFILL
WHD,0001699136-24-000137,8-K,2024-11-12,PRE_BACKFILL
XENE,0000950170-24-125374,8-K,2024-11-12,PRE_BACKFILL
XENE,0000950170-24-125547,10-Q,2024-11-12,PRE_BACKFILL
ZTS,0001555280-24-000335,8-K,2024-11-12,PRE_BACKFILL
BX,0001193125-24-257241,8-K,2024-11-13,PRE_BACKFILL
CC,0000950170-24-126406,8-K,2024-11-13,PRE_BACKFILL
CHTR,0001140361-24-046322,8-K,2024-11-13,PRE_BACKFILL
CSCO,0001193125-24-257224,8-K,2024-11-13,PRE_BACKFILL
DLTR,0000935703-24-000047,8-K,2024-11-13,PRE_BACKFILL
DNUT,0001857154-24-000115,8-K,2024-11-13,PRE_BACKFILL
EL,0001001250-24-000231,8-K,2024-11-13,PRE_BACKFILL
HP,0000046765-24-000073,8-K,2024-11-13,PRE_BACKFILL
HP,0000046765-24-000076,10-K,2024-11-13,PRE_BACKFILL
IAS,0001842718-24-000114,8-K,2024-11-13,PRE_BACKFILL
IBP,0001580905-24-000057,8-K,2024-11-13,PRE_BACKFILL
IRTC,0001388658-24-000176,8-K,2024-11-13,PRE_BACKFILL
KMB,0000055785-24-000098,8-K,2024-11-13,PRE_BACKFILL
KR,0001104659-24-117259,8-K,2024-11-13,PRE_BACKFILL
KSS,0000950170-24-126334,8-K,2024-11-13,PRE_BACKFILL
LMT,0000936468-24-000112,8-K,2024-11-13,PRE_BACKFILL
MOH,0001437749-24-034962,8-K,2024-11-13,PRE_BACKFILL
MOH,0001437749-24-034694,8-K,2024-11-13,PRE_BACKFILL
NWL,0001193125-24-256691,8-K,2024-11-13,PRE_BACKFILL
OKE,0001039684-24-000398,8-K,2024-11-13,PRE_BACKFILL
PVH,0000078239-24-000078,8-K,2024-11-13,PRE_BACKFILL
SONO,0001314727-24-000023,8-K,2024-11-13,PRE_BACKFILL
STT,0000093751-24-000915,8-K,2024-11-13,PRE_BACKFILL
SYNA,0001628280-24-047579,8-K,2024-11-13,PRE_BACKFILL
TENX,0001654954-24-014203,8-K,2024-11-13,PRE_BACKFILL
TENX,0001654954-24-014262,10-Q,2024-11-13,PRE_BACKFILL
TRU,0001552033-24-000078,8-K,2024-11-13,PRE_BACKFILL
WING,0001636222-24-000140,8-K,2024-11-13,PRE_BACKFILL
YETI,0001104659-24-117263,8-K,2024-11-13,PRE_BACKFILL
AAP,0001158449-24-000236,8-K,2024-11-14,PRE_BACKFILL
AAP,0001193125-24-257954,8-K,2024-11-14,PRE_BACKFILL
AAP,0001158449-24-000238,10-Q,2024-11-14,PRE_BACKFILL
ALV,0000950170-24-126737,8-K,2024-11-14,PRE_BACKFILL
AMAT,0000006951-24-000037,8-K,2024-11-14,PRE_BACKFILL
AMH,0001562401-24-000086,8-K,2024-11-14,PRE_BACKFILL
APO,0000950142-24-002765,8-K,2024-11-14,PRE_BACKFILL
BR,0001383312-24-000057,8-K,2024-11-14,PRE_BACKFILL
CBRL,0001104659-24-118360,8-K,2024-11-14,PRE_BACKFILL
CFLT,0001193125-24-258535,8-K,2024-11-14,PRE_BACKFILL
CRI,0001060822-24-000157,8-K,2024-11-14,PRE_BACKFILL
DIS,0001744489-24-000275,8-K,2024-11-14,PRE_BACKFILL
DIS,0001744489-24-000276,10-K,2024-11-14,PRE_BACKFILL
EPC,0001628280-24-047916,10-K,2024-11-14,PRE_BACKFILL
F,0000037996-24-000195,8-K,2024-11-14,PRE_BACKFILL
FDS,0001013237-24-000178,8-K,2024-11-14,PRE_BACKFILL
HZO,0000950170-24-127036,10-K,2024-11-14,PRE_BACKFILL
INVH,0001687229-24-000077,8-K,2024-11-14,PRE_BACKFILL
JKHY,0000779152-24-000130,8-K,2024-11-14,PRE_BACKFILL
NSC,0001552781-24-000606,8-K,2024-11-14,PRE_BACKFILL
NVRO,0000950170-24-127066,8-K,2024-11-14,PRE_BACKFILL
OI,0001104659-24-119009,8-K,2024-11-14,PRE_BACKFILL
OVV,0001193125-24-257943,8-K,2024-11-14,PRE_BACKFILL
PFG,0001104659-24-119004,8-K,2024-11-14,PRE_BACKFILL
PLTR,0001321655-24-000219,8-K,2024-11-14,PRE_BACKFILL
POR,0000784977-24-000186,8-K,2024-11-14,PRE_BACKFILL
SHW,0001193125-24-258598,8-K,2024-11-14,PRE_BACKFILL
TRMB,0000864749-24-000256,8-K,2024-11-14,PRE_BACKFILL
UDR,0000074208-24-000084,8-K,2024-11-14,PRE_BACKFILL
ABT,0001104659-24-119717,8-K,2024-11-15,PRE_BACKFILL
AMG,0001193125-24-259866,8-K,2024-11-15,PRE_BACKFILL
AVY,0000008818-24-000019,8-K,2024-11-15,PRE_BACKFILL
BG,0001996862-24-000262,8-K,2024-11-15,PRE_BACKFILL
BOOT,0001558370-24-015813,8-K/A,2024-11-15,PRE_BACKFILL
BOOT,0001558370-24-015813,8-K/A,2024-11-15,PRE_BACKFILL
BR,0001383312-24-000059,8-K,2024-11-15,PRE_BACKFILL
BSX,0000885725-24-000078,8-K,2024-11-15,PRE_BACKFILL
CLSK,0000950170-24-127680,8-K,2024-11-15,PRE_BACKFILL
DLTR,0000935703-24-000049,8-K,2024-11-15,PRE_BACKFILL
FRT,0000034903-24-000073,8-K,2024-11-15,PRE_BACKFILL
GIS,0001193125-24-259737,8-K,2024-11-15,PRE_BACKFILL
GKOS,0001558370-24-015776,8-K,2024-11-15,PRE_BACKFILL
KHC,0001637459-24-000150,8-K,2024-11-15,PRE_BACKFILL
KLAC,0001193125-24-259842,8-K,2024-11-15,PRE_BACKFILL
LAND,0001193125-24-259837,8-K,2024-11-15,PRE_BACKFILL
LSTR,0001193125-24-259871,8-K,2024-11-15,PRE_BACKFILL
MET,0001099219-24-000260,8-K,2024-11-15,PRE_BACKFILL
NFE,0001749723-24-000118,8-K,2024-11-15,PRE_BACKFILL
PANW,0001193125-24-259308,8-K,2024-11-15,PRE_BACKFILL
PGR,0000080661-24-000047,8-K,2024-11-15,PRE_BACKFILL
SNDX,0000950170-24-127708,8-K,2024-11-15,PRE_BACKFILL
SONO,0001314727-24-000026,10-K,2024-11-15,PRE_BACKFILL
SPB,0000109177-24-000044,8-K,2024-11-15,PRE_BACKFILL
SPB,0000109177-24-000047,10-K,2024-11-15,PRE_BACKFILL
TMHC,0001193125-24-259310,8-K,2024-11-15,PRE_BACKFILL
VST,0001193125-24-259341,8-K,2024-11-15,PRE_BACKFILL
WSO,0001193125-24-259823,8-K,2024-11-15,PRE_BACKFILL
ACM,0001104659-24-120136,8-K,2024-11-18,PRE_BACKFILL
ADM,0000007084-24-000056,8-K,2024-11-18,PRE_BACKFILL
ADM,0000007084-24-000051,10-K/A,2024-11-18,PRE_BACKFILL
ADM,0000007084-24-000054,10-Q,2024-11-18,PRE_BACKFILL
ADM,0000007084-24-000053,10-Q/A,2024-11-18,PRE_BACKFILL
ADM,0000007084-24-000052,10-Q/A,2024-11-18,PRE_BACKFILL
ADM,0000007084-24-000051,10-K/A,2024-11-18,PRE_BACKFILL
ADM,0000007084-24-000053,10-Q/A,2024-11-18,PRE_BACKFILL
ADM,0000007084-24-000052,10-Q/A,2024-11-18,PRE_BACKFILL
ADNT,0001670541-24-000109,10-K,2024-11-18,PRE_BACKFILL
AMD,0000002488-24-000172,8-K,2024-11-18,PRE_BACKFILL
APD,0001193125-24-260402,8-K,2024-11-18,PRE_BACKFILL
ARDX,0001628280-24-048258,8-K,2024-11-18,PRE_BACKFILL
ARVN,0001655759-24-000137,8-K,2024-11-18,PRE_BACKFILL
ASH,0000950170-24-128009,10-K,2024-11-18,PRE_BACKFILL
ATO,0000731802-24-000030,10-K,2024-11-18,PRE_BACKFILL
BA,0000012927-24-000084,8-K,2024-11-18,PRE_BACKFILL
BRBR,0001772016-24-000105,8-K,2024-11-18,PRE_BACKFILL
CAH,0001193125-24-260394,8-K,2024-11-18,PRE_BACKFILL
CVS,0001193125-24-260405,8-K,2024-11-18,PRE_BACKFILL
D,0001193125-24-260494,8-K,2024-11-18,PRE_BACKFILL
ED,0001193125-24-260675,8-K,2024-11-18,PRE_BACKFILL
FFIV,0001048695-24-000185,10-K,2024-11-18,PRE_BACKFILL
GME,0001326380-24-000163,8-K,2024-11-18,PRE_BACKFILL
HII,0001193125-24-260914,8-K,2024-11-18,PRE_BACKFILL
MAA,0000950170-24-127974,8-K,2024-11-18,PRE_BACKFILL
MASI,0000937556-24-000118,8-K,2024-11-18,PRE_BACKFILL
MASI,0000937556-24-000116,8-K,2024-11-18,PRE_BACKFILL
MOH,0001437749-24-035619,8-K,2024-11-18,PRE_BACKFILL
MSTR,0001193125-24-260452,8-K,2024-11-18,PRE_BACKFILL
NEM,0001104659-24-120181,8-K,2024-11-18,PRE_BACKFILL
NTLA,0001193125-24-260417,8-K,2024-11-18,PRE_BACKFILL
OMCL,0001104659-24-120206,8-K,2024-11-18,PRE_BACKFILL
ORCL,0001193125-24-260986,8-K,2024-11-18,PRE_BACKFILL
QDEL,0001906324-24-000059,8-K,2024-11-18,PRE_BACKFILL
QDEL,0001906324-24-000058,8-K/A,2024-11-18,PRE_BACKFILL
QDEL,0001906324-24-000058,8-K/A,2024-11-18,PRE_BACKFILL
RGEN,0000950170-24-127842,10-K/A,2024-11-18,PRE_BACKFILL
RGEN,0000950170-24-127846,10-Q,2024-11-18,PRE_BACKFILL
RGEN,0000950170-24-127845,10-Q/A,2024-11-18,PRE_BACKFILL
RGEN,0000950170-24-127844,10-Q/A,2024-11-18,PRE_BACKFILL
RGEN,0000950170-24-127841,10-Q/A,2024-11-18,PRE_BACKFILL
RGEN,0000950170-24-127839,10-Q/A,2024-11-18,PRE_BACKFILL
RGEN,0000950170-24-127837,10-Q/A,2024-11-18,PRE_BACKFILL
RGEN,0000950170-24-127842,10-K/A,2024-11-18,PRE_BACKFILL
RGEN,0000950170-24-127845,10-Q/A,2024-11-18,PRE_BACKFILL
RGEN,0000950170-24-127844,10-Q/A,2024-11-18,PRE_BACKFILL
RGEN,0000950170-24-127841,10-Q/A,2024-11-18,PRE_BACKFILL
RGEN,0000950170-24-127839,10-Q/A,2024-11-18,PRE_BACKFILL
RGEN,0000950170-24-127837,10-Q/A,2024-11-18,PRE_BACKFILL
SAIC,0001193125-24-261040,8-K,2024-11-18,PRE_BACKFILL
SHW,0001193125-24-260517,8-K,2024-11-18,PRE_BACKFILL
SMCI,0001375365-24-000040,8-K,2024-11-18,PRE_BACKFILL
SPR,0001104659-24-120232,8-K,2024-11-18,PRE_BACKFILL
TTD,0001193125-24-260382,8-K,2024-11-18,PRE_BACKFILL
TWST,0001628280-24-048173,8-K,2024-11-18,PRE_BACKFILL
TWST,0001628280-24-048262,10-K,2024-11-18,PRE_BACKFILL
XPOF,0001193125-24-260921,8-K,2024-11-18,PRE_BACKFILL
CLSK,0000950170-24-132288,NT 10-K,2024-12-02,PRE_BACKFILL
SMCI,0001375365-25-000002,NT 10-Q,2025-02-11,PRE_BACKFILL
MDT,0001613103-25-000022,10-Q,2025-02-25,PRE_BACKFILL
BERY,0001104659-25-017428,8-K,2025-02-26,PRE_BACKFILL
BERY,0001104659-25-017233,8-K,2025-02-26,PRE_BACKFILL
BERY,0001104659-25-017195,8-K,2025-02-26,PRE_BACKFILL
PDCO,0001193125-25-036792,8-K,2025-02-26,PRE_BACKFILL
PDCO,0000891024-25-000003,10-Q,2025-02-26,PRE_BACKFILL
BECN,0001124941-25-000017,8-K,2025-02-27,PRE_BACKFILL
BECN,0001124941-25-000021,10-K,2025-02-27,PRE_BACKFILL
DUK,0001326160-25-000072,10-K,2025-02-27,PRE_BACKFILL
NCLH,0001558370-25-001743,10-K,2025-02-27,PRE_BACKFILL
RDFN,0001382821-25-000042,8-K,2025-02-27,PRE_BACKFILL
RDFN,0001382821-25-000046,10-K,2025-02-27,PRE_BACKFILL
EXR,0001628280-25-009060,10-K,2025-02-28,PRE_BACKFILL
AES,0000950103-25-002789,NT 10-K,2025-03-03,PRE_BACKFILL
RGEN,0001193125-25-044191,NT 10-K,2025-03-03,PRE_BACKFILL
NFE,0001749723-25-000019,NT 10-K,2025-03-04,PRE_BACKFILL
SGRY,0001638833-25-000034,NT 10-K,2025-03-04,PRE_BACKFILL
TRMB,0000864749-25-000029,NT 10-K,2025-03-05,PRE_BACKFILL
LSTR,0001193125-25-095321,NT 10-Q,2025-04-25,PRE_BACKFILL
X,0001163302-25-000028,8-K,2025-05-01,PRE_BACKFILL
X,0001163302-25-000030,10-Q,2025-05-02,PRE_BACKFILL
MRVL,0001193125-25-113881,8-K,2025-05-06,PRE_BACKFILL
RDFN,0001382821-25-000062,8-K,2025-05-06,PRE_BACKFILL
RDFN,0001382821-25-000064,10-Q,2025-05-06,PRE_BACKFILL
RDFN,0001382821-25-000067,8-K,2025-05-09,PRE_BACKFILL
X,0001163302-25-000034,8-K,2025-05-09,PRE_BACKFILL
NFE,0001749723-25-000060,NT 10-Q,2025-05-13,PRE_BACKFILL
GTLB,0001628280-25-030548,NT 10-Q,2025-06-10,PRE_BACKFILL
AHCO,0001628280-25-032464,10-K/A,2025-06-20,PRE_BACKFILL
AHCO,0001628280-25-032464,10-K/A,2025-06-20,PRE_BACKFILL
CYRX,0001558370-25-011126,NT 10-Q,2025-08-11,PRE_BACKFILL
NFE,0001749723-25-000109,NT 10-Q,2025-08-12,PRE_BACKFILL
ROP,0001193125-25-178683,8-K,2025-08-12,PRE_BACKFILL
VNOM,0001193125-25-187727,8-K/A,2025-08-25,FETCH_BUT_MISSING
VNOM,0001193125-25-187727,8-K/A,2025-08-25,FETCH_BUT_MISSING
TEX,0000097216-25-000157,8-K,2025-10-30,FETCH_BUT_MISSING
ACAD,0001193125-25-262610,8-K,2025-11-03,NO_FETCH
AIR,0001104659-25-105556,8-K,2025-11-03,NO_FETCH
AMG,0001628280-25-047923,8-K,2025-11-03,NO_FETCH
AMRC,0001628280-25-048222,8-K,2025-11-03,NO_FETCH
AWK,0001410636-25-000177,8-K,2025-11-03,NO_FETCH
AXSM,0001193125-25-261651,8-K,2025-11-03,NO_FETCH
AXSM,0001193125-25-262664,10-Q,2025-11-03,NO_FETCH
BCRX,0001171843-25-006881,8-K,2025-11-03,NO_FETCH
BMY,0001140361-25-040066,8-K,2025-11-03,NO_FETCH
BSX,0000885725-25-000050,10-Q,2025-11-03,NO_FETCH
BX,0001193125-25-262626,8-K,2025-11-03,NO_FETCH
CAKE,0001104659-25-105631,10-Q,2025-11-03,NO_FETCH
CAT,0000018230-25-000048,10-Q,2025-11-03,NO_FETCH
CGNX,0000851205-25-000067,8-K,2025-11-03,NO_FETCH
CLX,0000021076-25-000051,8-K,2025-11-03,NO_FETCH
CLX,0000021076-25-000053,10-Q,2025-11-03,NO_FETCH
CSTL,0001628280-25-048248,8-K,2025-11-03,NO_FETCH
ELAN,0001104659-25-105246,8-K,2025-11-03,NO_FETCH
EMN,0000915389-25-000176,8-K,2025-11-03,NO_FETCH
ETR,0000065984-25-000137,8-K,2025-11-03,NO_FETCH
EVER,0001193125-25-262533,8-K,2025-11-03,NO_FETCH
EXAS,0001124140-25-000091,10-Q,2025-11-03,NO_FETCH
FANG,0001539838-25-000144,8-K,2025-11-03,NO_FETCH
FAST,0000815556-25-000121,8-K,2025-11-03,NO_FETCH
FN,0001408710-25-000054,8-K,2025-11-03,NO_FETCH
FRPT,0001611647-25-000027,8-K,2025-11-03,NO_FETCH
FRPT,0001611647-25-000030,10-Q,2025-11-03,NO_FETCH
GDRX,0001809519-25-000136,8-K,2025-11-03,NO_FETCH
GT,0001628280-25-048294,8-K,2025-11-03,NO_FETCH
HLIT,0001193125-25-262555,8-K,2025-11-03,NO_FETCH
HOLX,0001140361-25-040182,8-K,2025-11-03,NO_FETCH
IAC,0001628280-25-048240,8-K,2025-11-03,NO_FETCH
IAC,0001628280-25-048237,8-K,2025-11-03,NO_FETCH
IAC,0001628280-25-048244,10-Q,2025-11-03,NO_FETCH
IDXX,0001104659-25-105185,8-K,2025-11-03,NO_FETCH
IDXX,0000874716-25-000165,10-Q,2025-11-03,NO_FETCH
IIPR,0001104659-25-105733,8-K,2025-11-03,NO_FETCH
INSP,0001609550-25-000052,8-K,2025-11-03,NO_FETCH
INSP,0001609550-25-000053,10-Q,2025-11-03,NO_FETCH
JELD,0001674335-25-000167,8-K,2025-11-03,NO_FETCH
KIM,0001140361-25-040255,8-K,2025-11-03,NO_FETCH
KMB,0001104659-25-105220,8-K,2025-11-03,NO_FETCH
KRYS,0001711279-25-000088,8-K,2025-11-03,NO_FETCH
KRYS,0001711279-25-000087,10-Q,2025-11-03,NO_FETCH
LPLA,0001628280-25-047934,10-Q,2025-11-03,NO_FETCH
LPX,0000060519-25-000030,8-K,2025-11-03,NO_FETCH
LSCC,0001437749-25-032839,8-K/A,2025-11-03,NO_FETCH
LSCC,0001437749-25-032775,8-K,2025-11-03,NO_FETCH
LSCC,0001437749-25-032777,10-Q,2025-11-03,NO_FETCH
LSCC,0001437749-25-032839,8-K/A,2025-11-03,NO_FETCH
LUV,0001193125-25-262544,8-K,2025-11-03,NO_FETCH
MAA,0001193125-25-262830,8-K,2025-11-03,NO_FETCH
MDB,0001628280-25-047941,8-K,2025-11-03,NO_FETCH
MDT,0001628280-25-048375,8-K,2025-11-03,NO_FETCH
MSTR,0001193125-25-262819,8-K,2025-11-03,NO_FETCH
MSTR,0001193125-25-261714,8-K,2025-11-03,NO_FETCH
MSTR,0001193125-25-262568,10-Q,2025-11-03,NO_FETCH
MYGN,0000899923-25-000109,8-K/A,2025-11-03,NO_FETCH
MYGN,0000899923-25-000103,8-K,2025-11-03,NO_FETCH
MYGN,0000899923-25-000109,8-K/A,2025-11-03,NO_FETCH
NSP,0001000753-25-000104,8-K,2025-11-03,NO_FETCH
NSP,0001000753-25-000107,10-Q,2025-11-03,NO_FETCH
O,0000726728-25-000146,8-K,2025-11-03,NO_FETCH
O,0000726728-25-000148,10-Q,2025-11-03,NO_FETCH
OGS,0001587732-25-000053,8-K,2025-11-03,NO_FETCH
OHI,0001104659-25-105648,8-K,2025-11-03,NO_FETCH
ON,0001140361-25-040094,8-K,2025-11-03,NO_FETCH
ON,0001097864-25-000019,10-Q,2025-11-03,NO_FETCH
PAYC,0001193125-25-262771,8-K,2025-11-03,NO_FETCH
PEG,0001193125-25-261789,8-K,2025-11-03,NO_FETCH
PEG,0001193125-25-262643,10-Q,2025-11-03,NO_FETCH
PG,0001193125-25-262609,8-K,2025-11-03,NO_FETCH
PGR,0000080661-25-000129,10-Q,2025-11-03,NO_FETCH
PK,0001617406-25-000053,10-Q,2025-11-03,NO_FETCH
PLTR,0001321655-25-000130,8-K,2025-11-03,NO_FETCH
PLTR,0001321655-25-000131,10-Q,2025-11-03,NO_FETCH
PNW,0000764622-25-000086,8-K,2025-11-03,NO_FETCH
PNW,0000764622-25-000087,10-Q,2025-11-03,NO_FETCH
QRVO,0001628280-25-048216,8-K,2025-11-03,NO_FETCH
QRVO,0001628280-25-048253,10-Q,2025-11-03,NO_FETCH
QURE,0001104659-25-105223,8-K,2025-11-03,NO_FETCH
