line	category	tool	tool_use_id	result_line	result_class
73802	other_file_only	Bash	toolu_011hMx2fdGy9J3sicaiM5Xng	73803	ok
73810	persistent	Bash	toolu_01NBzJgW1hFtMs2aNTULj2x1	73811	ok
73815	read_only	Bash	toolu_01ThKYuCbiYtPJ9ZGG3SChcU	73816	ok
74064	read_only	Bash	toolu_01RyEGLQgNgWJP5DrGbN1Ttk	74065	ok
74067	read_only	Bash	toolu_016N4Cz5rnYunvmwVo1oMEJi	74068	ok
74070	persistent	Bash	toolu_01W4WdLQupFirPiny98JjrMX	74071	ok
74186	persistent	Bash	toolu_01EEn4zgH2GWmzq4dFpMUvtQ	74192	ok
74294	persistent	Bash	toolu_014cgPgVAoxojws6GkZR5H47	74295	ok
74390	read_only	Bash	toolu_01NpUxrCxVpkG9ECVriPzrvh	74391	ok
75140	read_only	Bash	toolu_01S4is9Md4xxGzptEXZKbJTD	75141	ok
75143	read_only	Bash	toolu_01GEEDXwEsCLQeL7AYVJrDED	75144	ok
75152	read_only	Bash	toolu_01HCoZTbNYJcfzM9HN9sQaTZ	75153	ok
75438	other_file_only	Bash	toolu_01QKRWQd7iDTasHHDW5GzcJz	75439	ok
75455	read_only	Bash	toolu_01G8q4gLos4K6bJWn9SNENLP	75456	ok
75475	read_only	Bash	toolu_01MLsSeyjkxxaBALgjuhaiNB	75476	ok
75579	other_file_only	Bash	toolu_01FXrQqkZZgTR3JxTPmqiukC	75580	ok
75804	read_only	Bash	toolu_01FB6cqAXJFCDf8VsJNZBPBh	75810	ok
75813	read_only	Bash	toolu_013k2TLabNLX2AvxiEb65Zed	75814	ok
75890	read_only	Bash	toolu_01UrWeLujzPVVM135emuip9o	75891	ok
75904	read_only	Bash	toolu_01PqCDWVGdJwQQ9NsY4q6x1L	75905	ok
75912	persistent	Bash	toolu_012Wpb8DudVxTG9LkFzM8P4t	75913	ok
