accession_8k,ticker,fy,q,oracle_source
0001516513-24-000019,DOCS,2024,Q4,GT
0001516513-24-000062,DOCS,2025,Q1,GT
0001516513-24-000100,DOCS,2025,Q2,GT
0001516513-25-000009,DOCS,2025,Q3,GT
0001516513-25-000044,DOCS,2025,Q4,GT
0001516513-25-000092,DOCS,2026,Q1,GT
0001516513-25-000110,DOCS,2026,Q2,GT
0001516513-26-000004,DOCS,2026,Q3,GT
0001261333-23-000069,DOCU,2024,Q1,GT
0001261333-23-000078,DOCU,2024,Q2,GT
0001261333-23-000101,DOCU,2024,Q3,GT
0001261333-24-000027,DOCU,2024,Q4,GT
0001261333-24-000083,DOCU,2025,Q1,GT
0001261333-24-000118,DOCU,2025,Q2,GT
0001261333-24-000148,DOCU,2025,Q3,GT
0001261333-25-000016,DOCU,2025,Q4,GT
0001261333-25-000073,DOCU,2026,Q1,GT
0001261333-25-000129,DOCU,2026,Q2,GT
0001261333-25-000146,DOCU,2026,Q3,GT
0001261333-26-000017,DOCU,2026,Q4,GT
0001505952-23-000067,DOMO,2024,Q1,GT
0001505952-23-000084,DOMO,2024,Q2,GT
0001505952-23-000095,DOMO,2024,Q3,GT
0001505952-24-000007,DOMO,2024,Q4,GT
0001505952-24-000030,DOMO,2025,Q1,GT
0001505952-24-000050,DOMO,2025,Q2,GT
0001505952-24-000069,DOMO,2025,Q3,GT
0001505952-25-000004,DOMO,2025,Q4,GT
0001628280-25-027066,DOMO,2026,Q1,GT
0001505952-25-000072,DOMO,2026,Q2,GT
0001628280-25-055357,DOMO,2026,Q3,GT
0001628280-26-016450,DOMO,2026,Q4,GT
0000029905-23-000013,DOV,2023,Q1,GT
0000029905-23-000026,DOV,2023,Q2,GT
0000029905-23-000032,DOV,2023,Q3,GT
0000029905-24-000004,DOV,2023,Q4,GT
0000029905-24-000018,DOV,2024,Q1,GT
0000029905-24-000033,DOV,2024,Q2,GT
0000029905-24-000037,DOV,2024,Q3,GT
0000029905-24-000044,DOV,2024,Q3,GT
0000029905-25-000003,DOV,2024,Q4,GT
0000029905-25-000012,DOV,2025,Q1,GT
0000029905-25-000022,DOV,2025,Q2,GT
0000029905-25-000032,DOV,2025,Q3,GT
0000029905-26-000004,DOV,2025,Q4,GT
0000029905-26-000014,DOV,2026,Q1,GT
0001751788-23-000113,DOW,2023,Q1,GT
0001751788-23-000125,DOW,2023,Q2,GT
0001751788-23-000137,DOW,2023,Q3,GT
0001751788-24-000003,DOW,2023,Q4,GT
0001751788-24-000126,DOW,2024,Q1,GT
0001751788-24-000135,DOW,2024,Q2,GT
0001751788-24-000147,DOW,2024,Q3,GT
0001751788-25-000005,DOW,2024,Q4,GT
0001751788-25-000125,DOW,2025,Q1,GT
0001751788-25-000142,DOW,2025,Q2,GT
0001751788-25-000153,DOW,2025,Q3,GT
0001751788-26-000011,DOW,2025,Q4,GT
0001751788-26-000131,DOW,2026,Q1,GT
0000940944-23-000012,DRI,2023,Q3,GT
0000940944-23-000031,DRI,2023,Q4,GT
0000940944-23-000041,DRI,2024,Q1,GT
0000940944-23-000071,DRI,2024,Q2,GT
0000940944-24-000011,DRI,2024,Q3,GT
0000940944-24-000026,DRI,2024,Q4,GT
0000940944-24-000044,DRI,2025,Q1,GT
0000940944-24-000078,DRI,2025,Q2,GT
0000940944-25-000011,DRI,2025,Q3,GT
0000940944-25-000028,DRI,2025,Q4,GT
0000940944-25-000045,DRI,2026,Q1,GT
0000940944-25-000067,DRI,2026,Q2,GT
0000940944-26-000005,DRI,2026,Q3,GT
0001773383-23-000036,DT,2023,Q4,GT
0001773383-23-000131,DT,2024,Q1,GT
0001773383-23-000211,DT,2024,Q2,GT
0001773383-24-000009,DT,2024,Q3,GT
0001773383-24-000063,DT,2024,Q4,GT
0001773383-24-000155,DT,2025,Q1,GT
0001773383-24-000216,DT,2025,Q2,GT
0001773383-25-000008,DT,2025,Q3,GT
0001773383-25-000047,DT,2025,Q4,GT
0001773383-25-000153,DT,2026,Q1,GT
0001628280-25-049224,DT,2026,Q2,GT
0001773383-26-000006,DT,2026,Q3,GT
0000936340-24-000074,DTE,2023,Q4,GT
0000936340-24-000115,DTE,2024,Q1,GT
0000936340-24-000176,DTE,2024,Q2,GT
0000936340-24-000196,DTE,2024,Q3,GT
0000936340-25-000063,DTE,2024,Q4,GT
0000936340-25-000095,DTE,2025,Q1,GT
0000936340-25-000181,DTE,2025,Q2,GT
0000936340-25-000219,DTE,2025,Q3,GT
0000936340-26-000051,DTE,2025,Q4,GT
0001326160-23-000146,DUK,2023,Q1,GT
0001326160-23-000171,DUK,2023,Q2,GT
0001326160-23-000188,DUK,2023,Q3,GT
0001326160-24-000031,DUK,2023,Q4,GT
0001326160-24-000103,DUK,2024,Q1,GT
0001326160-24-000164,DUK,2024,Q2,GT
0001326160-24-000179,DUK,2024,Q3,GT
0001326160-25-000040,DUK,2024,Q4,GT
0001326160-25-000148,DUK,2025,Q1,GT
0001326160-25-000165,DUK,2025,Q2,GT
0001326160-25-000190,DUK,2025,Q3,GT
0001326160-26-000007,DUK,2025,Q4,GT
0001562088-23-000101,DUOL,2023,Q1,GT
0001562088-23-000173,DUOL,2023,Q2,GT
0001562088-23-000219,DUOL,2023,Q3,GT
0001562088-24-000048,DUOL,2023,Q4,GT
0001562088-24-000110,DUOL,2024,Q1,GT
0001562088-24-000203,DUOL,2024,Q2,GT
0001562088-24-000248,DUOL,2024,Q3,GT
0001562088-25-000039,DUOL,2024,Q4,GT
0001562088-25-000098,DUOL,2025,Q1,GT
0001562088-25-000165,DUOL,2025,Q2,GT
0001628280-25-049514,DUOL,2025,Q3,GT
0001628280-26-001730,DUOL,2025,Q4,GT
0001628280-26-012246,DUOL,2025,Q4,GT
0001558370-23-012566,DV,2023,Q2,GT
0001558370-23-018569,DV,2023,Q3,GT
0001558370-24-007049,DV,2024,Q1,GT
0001558370-24-010377,DV,2024,Q2,GT
0001558370-24-014624,DV,2024,Q3,GT
0001558370-25-001812,DV,2024,Q4,GT
0001558370-25-006971,DV,2025,Q1,GT
0001558370-25-010291,DV,2025,Q2,GT
0001104659-25-108132,DV,2025,Q3,GT
0001193125-23-138262,DVN,2023,Q1,GT
0001193125-23-200559,DVN,2023,Q2,GT
0001193125-23-272434,DVN,2023,Q3,GT
0001193125-24-047938,DVN,2023,Q4,GT
0001193125-24-127511,DVN,2024,Q1,GT
0001193125-24-194945,DVN,2024,Q2,GT
0001193125-24-251247,DVN,2024,Q3,GT
0001193125-25-028614,DVN,2024,Q4,GT
0001193125-25-113823,DVN,2025,Q1,GT
0001193125-25-173542,DVN,2025,Q2,GT
0001193125-25-267018,DVN,2025,Q3,GT
0001193125-26-054657,DVN,2025,Q4,GT
0001688568-23-000028,DXC,2023,Q4,GT
0001688568-23-000089,DXC,2024,Q1,GT
0001688568-23-000114,DXC,2024,Q2,GT
0001688568-24-000008,DXC,2024,Q3,GT
0001688568-24-000031,DXC,2024,Q4,GT
0001688568-24-000073,DXC,2025,Q1,GT
0001688568-24-000098,DXC,2025,Q2,GT
0001688568-25-000004,DXC,2025,Q3,GT
0001688568-25-000027,DXC,2025,Q4,GT
0001688568-25-000071,DXC,2026,Q1,GT
0001688568-25-000097,DXC,2026,Q2,GT
0001688568-26-000004,DXC,2026,Q3,GT
0001093557-23-000117,DXCM,2023,Q1,GT
0001093557-23-000173,DXCM,2023,Q2,GT
0001093557-23-000219,DXCM,2023,Q3,GT
0001093557-24-000003,DXCM,2023,Q4,GT
0001093557-24-000020,DXCM,2023,Q4,GT
0001093557-24-000078,DXCM,2024,Q1,GT
0001093557-24-000143,DXCM,2024,Q2,GT
0001093557-24-000179,DXCM,2024,Q3,GT
0001093557-25-000004,DXCM,2024,Q4,GT
0001093557-25-000029,DXCM,2024,Q4,GT
0001093557-25-000111,DXCM,2025,Q1,GT
0001093557-25-000241,DXCM,2025,Q2,GT
0001093557-25-000278,DXCM,2025,Q3,GT
0001093557-26-000003,DXCM,2025,Q4,GT
0001093557-26-000025,DXCM,2025,Q4,GT
0000067215-23-000026,DY,2024,Q1,GT
0000067215-23-000041,DY,2024,Q2,GT
0000067215-23-000058,DY,2024,Q3,GT
0000067215-24-000004,DY,2024,Q4,GT
0000067215-24-000023,DY,2025,Q1,GT
0000067215-24-000035,DY,2025,Q2,GT
0000067215-24-000046,DY,2025,Q3,GT
0000067215-25-000006,DY,2025,Q4,GT
0000067215-25-000028,DY,2026,Q1,GT
0000067215-25-000054,DY,2026,Q2,GT
0000067215-25-000074,DY,2026,Q3,GT
0000067215-26-000004,DY,2026,Q4,GT
0000703351-23-000040,EAT,2023,Q4,GT
0000703351-23-000049,EAT,2024,Q1,GT
0000703351-24-000004,EAT,2024,Q2,GT
0000703351-24-000013,EAT,2024,Q3,GT
0000703351-24-000027,EAT,2024,Q4,GT
0000703351-24-000035,EAT,2025,Q1,GT
0000703351-25-000004,EAT,2025,Q2,GT
0000703351-25-000016,EAT,2025,Q3,GT
0000703351-25-000032,EAT,2025,Q4,GT
0000703351-25-000044,EAT,2026,Q1,GT
0000703351-26-000004,EAT,2026,Q2,GT
0001628280-23-013226,EBAY,2023,Q1,GT
0001065088-23-000018,EBAY,2023,Q2,GT
0001065088-23-000036,EBAY,2023,Q3,GT
0001552781-24-000014,EBAY,2023,Q4,GT
0001065088-24-000033,EBAY,2023,Q4,GT
0001065088-24-000073,EBAY,2024,Q1,GT
0001065088-24-000143,EBAY,2024,Q2,GT
0001065088-24-000196,EBAY,2024,Q3,GT
0001065088-25-000034,EBAY,2024,Q4,GT
0001065088-25-000058,EBAY,2025,Q1,GT
0001065088-25-000075,EBAY,2025,Q2,GT
0001065088-25-000124,EBAY,2025,Q3,GT
0001065088-26-000017,EBAY,2025,Q4,GT
0001558370-23-005492,ECL,2023,Q1,GT
0001558370-23-007574,ECL,2023,Q1,GT
0001558370-23-012641,ECL,2023,Q2,GT
0001558370-23-017063,ECL,2023,Q3,GT
0001558370-24-001019,ECL,2023,Q4,GT
0001558370-24-006197,ECL,2024,Q1,GT
0001558370-24-010319,ECL,2024,Q2,GT
0001558370-24-013805,ECL,2024,Q3,GT
0001558370-25-000782,ECL,2024,Q4,GT
0001558370-25-005743,ECL,2025,Q1,GT
0001558370-25-009695,ECL,2025,Q2,GT
0001104659-25-102859,ECL,2025,Q3,GT
0001104659-26-012358,ECL,2025,Q4,GT
0001047862-23-000118,ED,2023,Q1,GT
0001047862-24-000048,ED,2024,Q2,GT
0001047862-25-000044,ED,2025,Q1,GT
0001047862-26-000028,ED,2025,Q4,GT
0001558370-23-008190,EDIT,2023,Q1,GT
0001558370-23-012810,EDIT,2023,Q2,GT
0001650664-23-000014,EDIT,2023,Q3,GT
0001650664-24-000006,EDIT,2023,Q4,GT
0001650664-24-000034,EDIT,2024,Q1,GT
0001650664-24-000094,EDIT,2024,Q2,GT
0001650664-24-000114,EDIT,2024,Q3,GT
0001650664-24-000120,EDIT,2024,Q3,GT
0001650664-25-000003,EDIT,2024,Q4,GT
0001650664-25-000020,EDIT,2024,Q4,GT
0001650664-25-000071,EDIT,2025,Q1,GT
0001650664-25-000123,EDIT,2025,Q2,GT
0001650664-25-000153,EDIT,2025,Q3,GT
0001650664-26-000013,EDIT,2025,Q4,GT
0001213900-23-035748,EEFT,2023,Q1,GT
0001213900-23-059804,EEFT,2023,Q2,GT
0001013762-23-005234,EEFT,2023,Q3,GT
0001213900-24-010695,EEFT,2023,Q4,GT
0001213900-24-038092,EEFT,2024,Q1,GT
0001213900-24-062722,EEFT,2024,Q2,GT
0001213900-24-090133,EEFT,2024,Q3,GT
0001213900-25-013143,EEFT,2024,Q4,GT
0001213900-25-034793,EEFT,2025,Q1,GT
0001554855-25-000871,EEFT,2025,Q2,GT
0001554855-25-001886,EEFT,2025,Q3,GT
0001554855-26-000072,EEFT,2025,Q4,GT
0000033185-23-000019,EFX,2023,Q1,GT
0000033185-23-000029,EFX,2023,Q2,GT
0000033185-23-000040,EFX,2023,Q3,GT
0000033185-24-000008,EFX,2023,Q4,GT
0000033185-24-000025,EFX,2024,Q1,GT
0000033185-24-000042,EFX,2024,Q2,GT
0000033185-24-000055,EFX,2024,Q3,GT
0000033185-25-000009,EFX,2024,Q4,GT
0000033185-25-000035,EFX,2025,Q1,GT
0000033185-25-000049,EFX,2025,Q2,GT
0000033185-25-000061,EFX,2025,Q3,GT
0000033185-26-000004,EFX,2025,Q4,GT
0000033185-26-000016,EFX,2026,Q1,GT
0000827052-23-000036,EIX,2023,Q1,GT
0000827052-23-000064,EIX,2023,Q2,GT
0000827052-23-000083,EIX,2023,Q3,GT
0000827052-24-000012,EIX,2023,Q4,GT
0000827052-24-000034,EIX,2024,Q1,GT
0000827052-24-000054,EIX,2024,Q2,GT
0000827052-24-000074,EIX,2024,Q3,GT
0000827052-25-000021,EIX,2024,Q4,GT
0000827052-25-000042,EIX,2025,Q1,GT
0000827052-25-000073,EIX,2025,Q2,GT
0000827052-25-000099,EIX,2025,Q3,GT
0000827052-26-000010,EIX,2025,Q4,GT
0001001250-23-000052,EL,2023,Q3,GT
0001001250-23-000110,EL,2023,Q4,GT
0001001250-23-000175,EL,2024,Q1,GT
0001001250-24-000005,EL,2024,Q2,GT
0001001250-24-000047,EL,2024,Q3,GT
0001001250-24-000112,EL,2024,Q4,GT
0001001250-24-000174,EL,2025,Q1,GT
0001001250-25-000009,EL,2025,Q2,GT
0001001250-25-000058,EL,2025,Q3,GT
0001001250-25-000097,EL,2025,Q4,GT
0001001250-25-000107,EL,2026,Q1,GT
0001001250-26-000004,EL,2026,Q2,GT
0001104659-23-057445,ELAN,2023,Q1,GT
0001104659-23-088037,ELAN,2023,Q2,GT
0001739104-23-000021,ELAN,2023,Q3,GT
0001739104-24-000004,ELAN,2023,Q4,GT
0001739104-24-000016,ELAN,2024,Q1,GT
0001739104-24-000025,ELAN,2024,Q2,GT
0001739104-24-000036,ELAN,2024,Q3,GT
0001739104-25-000011,ELAN,2024,Q4,GT
0001739104-25-000040,ELAN,2025,Q1,GT
0001739104-25-000052,ELAN,2025,Q2,GT
0001739104-25-000068,ELAN,2025,Q3,GT
0001739104-26-000008,ELAN,2025,Q4,GT
0001600033-23-000013,ELF,2023,Q4,GT
0001600033-23-000032,ELF,2024,Q1,GT
0001600033-23-000045,ELF,2024,Q2,GT
0001600033-24-000005,ELF,2024,Q3,GT
0001600033-24-000014,ELF,2024,Q4,GT
0001600033-24-000041,ELF,2025,Q1,GT
0001600033-24-000048,ELF,2025,Q2,GT
0001600033-25-000004,ELF,2025,Q3,GT
0001600033-25-000037,ELF,2026,Q1,GT
0001600033-25-000053,ELF,2026,Q2,GT
0001600033-26-000005,ELF,2026,Q3,GT
0000915389-23-000087,EMN,2023,Q1,GT
0000915389-23-000133,EMN,2023,Q2,GT
0000915389-23-000166,EMN,2023,Q3,GT
0000915389-24-000010,EMN,2023,Q4,GT
0000915389-24-000130,EMN,2024,Q1,GT
0000915389-24-000189,EMN,2024,Q2,GT
0000915389-24-000225,EMN,2024,Q3,GT
0000915389-25-000007,EMN,2024,Q4,GT
0000915389-25-000099,EMN,2025,Q1,GT
0000915389-25-000152,EMN,2025,Q2,GT
0000915389-25-000176,EMN,2025,Q3,GT
0000915389-26-000006,EMN,2025,Q4,GT
0000032604-23-000027,EMR,2023,Q2,GT
0000950103-23-005624,EMR,2023,Q2,GT
0001193125-23-133091,EMR,2023,Q2,GT
0000032604-23-000034,EMR,2023,Q3,GT
0000032604-23-000039,EMR,2023,Q4,GT
0000032604-24-000004,EMR,2024,Q1,GT
0000032604-24-000021,EMR,2024,Q2,GT
0000032604-24-000035,EMR,2024,Q3,GT
0000950103-24-015969,EMR,2024,Q4,GT
0000032604-25-000011,EMR,2025,Q1,GT
0000032604-25-000061,EMR,2025,Q2,GT
0000032604-25-000075,EMR,2025,Q3,GT
0000032604-25-000079,EMR,2025,Q4,GT
0000032604-26-000006,EMR,2026,Q1,GT
0001463101-23-000083,ENPH,2023,Q1,GT
0001463101-23-000138,ENPH,2023,Q2,GT
0001463101-23-000163,ENPH,2023,Q3,GT
0001463101-24-000013,ENPH,2023,Q4,GT
0001463101-24-000070,ENPH,2024,Q1,GT
0001463101-24-000116,ENPH,2024,Q2,GT
0001463101-24-000140,ENPH,2024,Q3,GT
0001463101-25-000014,ENPH,2024,Q4,GT
0001463101-25-000054,ENPH,2025,Q1,GT
0001463101-25-000099,ENPH,2025,Q2,GT
0001463101-25-000111,ENPH,2025,Q3,GT
0001463101-26-000008,ENPH,2025,Q4,GT
0001632790-23-000029,ENR,2023,Q2,GT
0001632790-23-000040,ENR,2023,Q3,GT
0001632790-23-000061,ENR,2023,Q4,GT
0001632790-24-000017,ENR,2024,Q1,GT
0001632790-24-000036,ENR,2024,Q2,GT
0001632790-24-000060,ENR,2024,Q3,GT
0001632790-24-000098,ENR,2024,Q4,GT
0001632790-25-000021,ENR,2025,Q1,GT
0001632790-25-000038,ENR,2025,Q2,GT
0001632790-25-000063,ENR,2025,Q3,GT
0001632790-25-000087,ENR,2025,Q4,GT
0001632790-26-000034,ENR,2026,Q1,GT
0000950170-23-018788,ENTA,2023,Q2,GT
0000950170-23-039051,ENTA,2023,Q3,GT
0000950170-23-065087,ENTA,2023,Q4,GT
0000950170-24-012186,ENTA,2024,Q1,GT
0000950170-24-053532,ENTA,2024,Q2,GT
0000950170-24-090722,ENTA,2024,Q3,GT
0000950170-24-130553,ENTA,2024,Q4,GT
0000950170-25-069155,ENTA,2025,Q2,GT
0001193125-25-177941,ENTA,2025,Q3,GT
0001193125-25-284633,ENTA,2025,Q4,GT
0001193125-26-042812,ENTA,2026,Q1,GT
0000821189-23-000023,EOG,2023,Q1,GT
0000821189-23-000039,EOG,2023,Q2,GT
0000821189-23-000050,EOG,2023,Q3,GT
0000821189-24-000009,EOG,2023,Q4,GT
0000821189-24-000020,EOG,2024,Q1,GT
0000821189-24-000030,EOG,2024,Q2,GT
0000821189-24-000046,EOG,2024,Q3,GT
0000821189-25-000010,EOG,2024,Q4,GT
0000821189-25-000015,EOG,2025,Q1,GT
0000821189-25-000019,EOG,2025,Q1,GT
0000821189-25-000036,EOG,2025,Q2,GT
0000821189-25-000069,EOG,2025,Q2,GT
0000821189-25-000101,EOG,2025,Q3,GT
0000821189-25-000129,EOG,2025,Q3,GT
0000821189-26-000012,EOG,2025,Q4,GT
0000821189-26-000052,EOG,2025,Q4,GT
0001570562-23-000068,EOLS,2023,Q1,GT
0001570562-23-000082,EOLS,2023,Q2,GT
0001570562-23-000086,EOLS,2023,Q2,GT
0001570562-23-000114,EOLS,2023,Q3,GT
0001570562-24-000003,EOLS,2023,Q4,GT
0001570562-24-000038,EOLS,2023,Q4,GT
0001570562-24-000078,EOLS,2024,Q1,GT
0001570562-24-000114,EOLS,2024,Q2,GT
0001570562-24-000127,EOLS,2024,Q3,GT
0001570562-25-000006,EOLS,2024,Q4,GT
0001570562-25-000017,EOLS,2024,Q4,GT
0001570562-25-000074,EOLS,2025,Q1,GT
0001570562-25-000094,EOLS,2025,Q2,GT
0001628280-25-049564,EOLS,2025,Q3,GT
0001570562-26-000003,EOLS,2025,Q4,GT
0001628280-26-013872,EOLS,2025,Q4,GT
0001352010-23-000022,EPAM,2023,Q1,GT
0001352010-23-000038,EPAM,2023,Q2,GT
0001352010-23-000047,EPAM,2023,Q3,GT
0001352010-24-000003,EPAM,2023,Q4,GT
0001352010-24-000015,EPAM,2024,Q1,GT
0001352010-24-000024,EPAM,2024,Q2,GT
0001352010-24-000041,EPAM,2024,Q3,GT
0001352010-25-000004,EPAM,2024,Q4,GT
0001352010-25-000012,EPAM,2025,Q1,GT
0001352010-25-000024,EPAM,2025,Q2,GT
0001352010-25-000053,EPAM,2025,Q3,GT
0001352010-26-000010,EPAM,2025,Q4,GT
0001628280-23-026961,EPC,2023,Q3,GT
0001628280-23-038014,EPC,2023,Q4,GT
0001628280-24-003597,EPC,2024,Q1,GT
0001628280-24-021331,EPC,2024,Q2,GT
0001628280-24-034922,EPC,2024,Q3,GT
0001628280-24-045936,EPC,2024,Q4,GT
0001628280-25-004510,EPC,2025,Q1,GT
0001628280-25-022844,EPC,2025,Q2,GT
0001628280-25-037579,EPC,2025,Q3,GT
0001628280-25-051816,EPC,2025,Q4,GT
0001628280-26-006183,EPC,2026,Q1,GT
0001140361-23-022246,EPD,2023,Q1,GT
0001140361-23-037141,EPD,2023,Q2,GT
0001140361-23-050346,EPD,2023,Q3,GT
0001140361-24-004973,EPD,2023,Q4,GT
0001140361-24-023186,EPD,2024,Q1,GT
0001140361-24-034776,EPD,2024,Q2,GT
0001140361-24-044469,EPD,2024,Q3,GT
0001140361-25-002931,EPD,2024,Q4,GT
0001140361-25-016143,EPD,2025,Q1,GT
0001061219-25-000020,EPD,2025,Q2,GT
0001061219-25-000033,EPD,2025,Q3,GT
0001061219-26-000002,EPD,2025,Q4,GT
0001333986-23-000006,EQH,2023,Q1,GT
0001333986-23-000008,EQH,2023,Q1,GT
0001333986-23-000023,EQH,2023,Q2,GT
0001333986-23-000032,EQH,2023,Q3,GT
0001333986-24-000004,EQH,2023,Q4,GT
0001333986-24-000015,EQH,2024,Q1,GT
0001333986-24-000023,EQH,2024,Q2,GT
0001333986-24-000030,EQH,2024,Q3,GT
0001333986-25-000007,EQH,2024,Q4,GT
0001333986-25-000015,EQH,2025,Q1,GT
0001333986-25-000043,EQH,2025,Q2,GT
0001333986-25-000064,EQH,2025,Q3,GT
0001333986-26-000004,EQH,2025,Q4,GT
0000950170-23-014444,EQR,2023,Q1,GT
0000950170-23-035189,EQR,2023,Q2,GT
0000950170-23-056895,EQR,2023,Q3,GT
0000950170-24-008861,EQR,2023,Q4,GT
0000950170-24-046921,EQR,2024,Q1,GT
0000950170-24-087329,EQR,2024,Q2,GT
0000950170-24-119030,EQR,2024,Q3,GT
0000950170-25-012330,EQR,2024,Q4,GT
0000950170-25-060181,EQR,2025,Q1,GT
0000950170-25-102035,EQR,2025,Q2,GT
0001193125-25-253637,EQR,2025,Q3,GT
0001193125-26-039455,EQR,2025,Q4,GT
0000033213-23-000010,EQT,2023,Q1,GT
0000033213-23-000014,EQT,2023,Q1,GT
0000033213-23-000019,EQT,2023,Q2,GT
0000033213-23-000025,EQT,2023,Q2,GT
0000033213-23-000031,EQT,2023,Q3,GT
0000033213-23-000038,EQT,2023,Q3,GT
0001104659-24-004320,EQT,2023,Q4,GT
0000033213-24-000005,EQT,2023,Q4,GT
0000033213-24-000011,EQT,2024,Q1,GT
0000033213-24-000018,EQT,2024,Q1,GT
0000033213-24-000023,EQT,2024,Q2,GT
0000033213-24-000030,EQT,2024,Q2,GT
0000033213-24-000035,EQT,2024,Q3,GT
0000033213-24-000042,EQT,2024,Q3,GT
0000033213-25-000002,EQT,2024,Q4,GT
0000033213-25-000008,EQT,2024,Q4,GT
0000033213-25-000014,EQT,2025,Q1,GT
0000033213-25-000021,EQT,2025,Q1,GT
0000033213-25-000026,EQT,2025,Q2,GT
0000033213-25-000030,EQT,2025,Q2,GT
0000033213-25-000040,EQT,2025,Q3,GT
0000033213-25-000047,EQT,2025,Q3,GT
0000033213-26-000005,EQT,2025,Q4,GT
0000033213-26-000012,EQT,2025,Q4,GT
0000033213-26-000022,EQT,2026,Q1,GT
0000033213-26-000028,EQT,2026,Q1,GT
0001140361-23-021030,ESS,2023,Q1,GT
0001140361-23-036519,ESS,2023,Q2,GT
0001140361-23-049708,ESS,2023,Q3,GT
0001140361-24-005882,ESS,2023,Q4,GT
0001140361-24-023399,ESS,2024,Q1,GT
0001140361-24-034917,ESS,2024,Q2,GT
0001140361-24-044545,ESS,2024,Q3,GT
0001140361-25-003021,ESS,2024,Q4,GT
0001140361-25-016351,ESS,2025,Q1,GT
0001140361-25-027843,ESS,2025,Q2,GT
0001140361-25-039716,ESS,2025,Q3,GT
0001140361-26-003709,ESS,2025,Q4,GT
0001707753-23-000011,ESTC,2023,Q4,GT
0001707753-23-000044,ESTC,2024,Q1,GT
0001707753-23-000055,ESTC,2024,Q2,GT
0001707753-24-000003,ESTC,2024,Q3,GT
0001628280-24-025782,ESTC,2024,Q4,GT
0001707753-24-000044,ESTC,2025,Q2,GT
0001707753-25-000008,ESTC,2025,Q3,GT
0001707753-25-000015,ESTC,2025,Q4,GT
0001707753-25-000034,ESTC,2026,Q1,GT
0001707753-25-000053,ESTC,2026,Q2,GT
0001707753-26-000003,ESTC,2026,Q3,GT
0000065984-23-000030,ETR,2023,Q1,GT
0000065984-23-000069,ETR,2023,Q2,GT
0000065984-23-000086,ETR,2023,Q3,GT
0000065984-23-000090,ETR,2023,Q3,GT
0000065984-24-000008,ETR,2023,Q4,GT
0000065984-24-000039,ETR,2024,Q1,GT
0000065984-24-000044,ETR,2024,Q1,GT
0000065984-24-000090,ETR,2024,Q2,GT
0000065984-24-000108,ETR,2024,Q3,GT
0000065984-25-000009,ETR,2024,Q4,GT
0000065984-25-000042,ETR,2025,Q1,GT
0000065984-25-000082,ETR,2025,Q2,GT
0000065984-25-000126,ETR,2025,Q3,GT
0000065984-26-000164,ETR,2025,Q4,GT
0001370637-23-000047,ETSY,2023,Q1,GT
0001370637-23-000070,ETSY,2023,Q2,GT
0001370637-23-000077,ETSY,2023,Q3,GT
0001370637-24-000011,ETSY,2023,Q4,GT
0001370637-24-000028,ETSY,2024,Q1,GT
0001370637-24-000041,ETSY,2024,Q2,GT
0001370637-24-000050,ETSY,2024,Q3,GT
0001370637-25-000015,ETSY,2024,Q4,GT
0001370637-25-000038,ETSY,2025,Q1,GT
0001370637-25-000064,ETSY,2025,Q2,GT
0001370637-25-000098,ETSY,2025,Q3,GT
0001370637-26-000012,ETSY,2025,Q4,GT
0001370637-26-000017,ETSY,2025,Q4,GT
0001193125-23-138246,EVER,2023,Q1,GT
0001193125-23-204965,EVER,2023,Q2,GT
0001193125-23-271364,EVER,2023,Q3,GT
0001193125-24-046180,EVER,2023,Q4,GT
0000950170-24-053539,EVER,2024,Q1,GT
0000950170-24-090730,EVER,2024,Q2,GT
0000950170-24-120678,EVER,2024,Q3,GT
0000950170-25-025600,EVER,2024,Q4,GT
0000950170-25-063526,EVER,2025,Q1,GT
0000950170-25-101989,EVER,2025,Q2,GT
0001193125-25-262533,EVER,2025,Q3,GT
0001193125-26-063953,EVER,2025,Q4,GT
0001099800-23-000019,EW,2023,Q1,GT
0001099800-23-000032,EW,2023,Q2,GT
0001099800-23-000037,EW,2023,Q3,GT
0001099800-24-000002,EW,2023,Q4,GT
0001099800-24-000037,EW,2024,Q1,GT
0001099800-24-000069,EW,2024,Q2,GT
0001099800-24-000084,EW,2024,Q3,GT
0001099800-25-000003,EW,2024,Q4,GT
0001099800-25-000020,EW,2025,Q1,GT
0001099800-25-000037,EW,2025,Q2,GT
0001099800-25-000059,EW,2025,Q3,GT
0001099800-26-000006,EW,2025,Q4,GT
0001124140-23-000042,EXAS,2023,Q1,GT
0001124140-24-000003,EXAS,2023,Q4,GT
0001124140-24-000010,EXAS,2023,Q4,GT
0001124140-24-000045,EXAS,2024,Q1,GT
0001124140-24-000067,EXAS,2024,Q2,GT
0001124140-24-000081,EXAS,2024,Q3,GT
0001124140-25-000008,EXAS,2024,Q4,GT
0001124140-25-000018,EXAS,2024,Q4,GT
0001124140-25-000042,EXAS,2025,Q1,GT
0001124140-25-000081,EXAS,2025,Q2,GT
0000939767-23-000047,EXEL,2023,Q1,GT
0000939767-23-000078,EXEL,2023,Q2,GT
0000939767-23-000112,EXEL,2023,Q3,GT
0000939767-24-000002,EXEL,2023,Q4,GT
0000939767-24-000025,EXEL,2023,Q4,GT
0000939767-24-000054,EXEL,2024,Q1,GT
0000939767-24-000116,EXEL,2024,Q2,GT
0000939767-24-000149,EXEL,2024,Q3,GT
