exchange,symbol,name,sector,industry
NYSE,GSL,Global Ship Lease Inc New Class A Common Shares,Industrials,Rental & Leasing Services
NYSE,CRS,Carpenter Technology Corporation Common Stock,Industrials,Metal Fabrication
NYSE,NKE,"Nike, Inc. Common Stock",Consumer Cyclical,Footwear & Accessories
TSXV,CMC,Cielo Waste Solutions Corp.,Industrials,Waste Management
NYSE,FREY,"FREYR Battery, Inc. Common Stock",Industrials,Electrical Equipment & Parts
NASDAQ,ITRM,Iterum Therapeutics plc - Ordinary Share,Healthcare,Biotechnology
NASDAQ,EPZM,"Epizyme, Inc. - Common Stock",,
NASDAQ,JYNT,The Joint Corp. - Common Stock,Healthcare,Medical Care Facilities
NYSE,X,United States Steel Corporation Common Stock,Basic Materials,Steel
NYSE,CXM,"Sprinklr, Inc. Class A Common Stock",Technology,Software - Application
NYSE,CPG,Crescent Point Energy Corporation Ordinary Shares (Canada),Energy,Oil & Gas E&P
NASDAQ,RIBT,RiceBran Technologies - Common Stock,Consumer Defensive,Packaged Foods
NASDAQ,EGRX,"Eagle Pharmaceuticals, Inc. - Common Stock",Healthcare,Drug Manufacturers - Specialty & Generic
NYSE,QUOT,Quotient Technology Inc. Common Stock,,
NYSE,PRLB,"Proto Labs, Inc. Common stock",Industrials,Metal Fabrication
NYSE,PVG,"Pretium Resources, Inc. Ordinary Shares (Canada)",,
NASDAQ,FUV,"Arcimoto, Inc. - Common Stock",Consumer Cyclical,Recreational Vehicles
NYSE,HNGR,"Hanger, Inc. Common Stock",,
TSX,TIXT,TELUS International (Cda) Inc.,,
NYSE,FL,"Foot Locker, Inc.",Consumer Cyclical,Apparel Retail
NYSE,WAT,Waters Corporation Common Stock,Healthcare,Diagnostics & Research
NASDAQ,AFYA,Afya Limited - Class A Common Shares,Consumer Defensive,Education & Training Services
NYSE,BKH,Black Hills Corporation Common Stock,Utilities,Utilities - Regulated Gas
NASDAQ,VSTA,Vasta Platform Limited - Class A Ordinary Shares,Consumer Defensive,Education & Training Services
NASDAQ,ULBI,Ultralife Corporation - Common Stock,Industrials,Electrical Equipment & Parts
NASDAQ,SDGR,"Schrodinger, Inc. - Common Stock",Healthcare,Health Information Services
NYSE,MTG,MGIC Investment Corporation Common Stock,Financial Services,Insurance - Specialty
AMEX,SDPI,"Superior Drilling Products, Inc. Common Stock",Energy,Oil & Gas Equipment & Services
TSX,SPB,Superior Plus Corp.,Utilities,Utilities - Regulated Gas
NASDAQ,MNTV,Momentive Global Inc.  - Common Stock,,
NYSE,TEF,Telefonica SA,,
NYSE,GNE,Genie Energy Ltd. Class B Common Stock Stock,Utilities,Utilities - Regulated Electric
NYSE,VRS,Verso Corporation,,
NASDAQ,CMRX,"Chimerix, Inc. - Common Stock",Healthcare,Biotechnology
NYSE,KAR,"OPENLANE, Inc. Common Stock",Consumer Cyclical,Auto & Truck Dealerships
NASDAQ,BBSI,"Barrett Business Services, Inc. - Common Stock",Industrials,Staffing & Employment Services
NYSE,ARMK,Aramark Common Stock,Industrials,Specialty Business Services
AMEX,BATL,Battalion Oil Corporation Common Stock,,
NASDAQ,JBLU,JetBlue Airways Corporation - Common Stock,Industrials,Airlines
AMEX,YCBD,"cbdMD, Inc.",,
TSX,ECN,ECN Capital Corp.,Financial Services,Mortgage Finance
NASDAQ,HLG,Hailiang Education Group Inc.,,
NASDAQ,SY,So-Young International Inc. - American Depository Shares,Healthcare,Health Information Services
NYSE,CNO,"CNO Financial Group, Inc. Common Stock",Financial Services,Insurance - Life
NASDAQ,NEPH,"Nephros, Inc. - Common Stock",Healthcare,Medical Instruments & Supplies
NYSE,TPX,"Tempur Sealy International, Inc. Common Stock",Consumer Cyclical,"Furnishings, Fixtures & Appliances"
NASDAQ,TXMD,"TherapeuticsMD, Inc. - Common Stock",,
NASDAQ,QTT,Qutoutiao Inc.,,
NYSE,UTZ,Utz Brands Inc Class A Common Stock ,Consumer Defensive,Packaged Foods
NASDAQ,HYRE,HyreCar Inc. - Common Stock,,
NASDAQ,CHRS,"Coherus BioSciences, Inc. - Common Stock",Healthcare,Biotechnology
NYSE,SEAS,"SeaWorld Entertainment, Inc. Common Stock",Consumer Cyclical,Leisure
NYSE,PKG,Packaging Corporation of America Common Stock,Consumer Cyclical,Packaging & Containers
OTC,MRVFF,Nuvo Pharmaceuticals Ord,,
NASDAQ,SPCB,"SuperCom, Ltd. - Ordinary Shares",Industrials,Security & Protection Services
AMEX,GOED,1847 Goedeker Inc. Commom Stock,,
NASDAQ,HUIZ,Huize Holding Limited - American Depositary Shares,Financial Services,Insurance Brokers
NASDAQ,ATXS,"Astria Therapeutics, Inc. - Common Stock",Healthcare,Biotechnology
NASDAQ,HBP,"Huttig Building Products, Inc. - Common Stock",,
NASDAQ,SREV,"ServiceSource International, Inc. - Common Stock",,
NASDAQ,MANH,"Manhattan Associates, Inc. - Common Stock",Technology,Software - Application
NASDAQ,REFR,Research Frontiers Incorporated - Common Stock,Technology,Electronic Components
OTC,ACRHF,Acreage Hldg Cl E Sub Vtg,,
NASDAQ,RGLS,Regulus Therapeutics Inc. - Common Stock,,
NYSE,AIZ,"Assurant, Inc. Common Stock",Financial Services,Insurance - Property & Casualty
NYSE,OTIS,Otis Worldwide Corporation Common Stock ,Industrials,Specialty Industrial Machinery
NYSE,VLTA,"Volta, Inc. Class A Common Stock",,
AMEX,CTEK,"CynergisTek, Inc. Common Stock",,
NASDAQ,MTSI,"MACOM Technology Solutions Holdings, Inc. - Common Stock",Technology,Semiconductors
NYSE,J,Jacobs Solutions Inc. Common Stock,Industrials,Engineering & Construction
NYSE,RDN,Radian Group Inc. Common Stock,Financial Services,Insurance - Specialty
NYSE,SLCA,"U.S. Silica Holdings, Inc. Common Stock",Energy,Oil & Gas Equipment & Services
AMEX,INUV,"Inuvo, Inc.",Technology,Software - Application
NYSE,YALA,"Yalla Group Limited American Depositary Shares, each representing one Class A Ordinary Share",Technology,Software - Application
NYSE,BOH,Bank of Hawaii Corporation Common Stock,Financial Services,Banks - Regional
NASDAQ,ICLK,iClick Interactive Asia Group Limited - American Depositary Shares,,
NASDAQ,RCEL,"Avita Medical, Inc. - Common Stock",Healthcare,Medical Devices
OTC,TPCS,Techprecision Corp,,
NASDAQ,ROCC,Ranger Oil Corporation - Class A Common Stock,,
NYSE,SJM,The J.M. Smucker Company Common Stock,Consumer Defensive,Packaged Foods
NASDAQ,GOGO,Gogo Inc. - Common Stock,Communication Services,Telecom Services
NASDAQ,EYEN,"Eyenovia, Inc. - Common Stock",Healthcare,Biotechnology
NASDAQ,BPTH,"Bio-Path Holdings, Inc. - Common Stock",Healthcare,Biotechnology
NYSE,ELVT,"Elevate Credit, Inc. Common Stock",,
NASDAQ,EVBG,"Everbridge, Inc. - Common Stock",Technology,Software - Application
NASDAQ,PTVE,Pactiv Evergreen Inc. - Common stock,Consumer Cyclical,Packaging & Containers
NASDAQ,CFB,"CrossFirst Bankshares, Inc. - Common Stock",Financial Services,Banks - Regional
NASDAQ,SHEN,Shenandoah Telecommunications Co - Common Stock,Communication Services,Telecom Services
NYSE,KRA,Kraton Corporation,,
NYSE,CMP,Compass Minerals Intl Inc Common Stock,Basic Materials,Other Industrial Metals & Mining
NASDAQ,GAME,"GameSquare Holdings, Inc. - Common stock",Communication Services,Electronic Gaming & Multimedia
NASDAQ,TALK,"Talkspace, Inc. - Common Stock",Healthcare,Health Information Services
NASDAQ,ARKO,ARKO Corp. - Common Stock,Consumer Cyclical,Specialty Retail
NASDAQ,REGN,"Regeneron Pharmaceuticals, Inc. - Common Stock",Healthcare,Biotechnology
NASDAQ,MGNX,"MacroGenics, Inc. - Common Stock",Healthcare,Biotechnology
NYSE,PAM,Pampa Energia S.A.,Utilities,Utilities - Independent Power Producers
NYSE,AMP,"Ameriprise Financial, Inc. Common Stock",Financial Services,Asset Management
NYSE,FLOW,"SPX FLOW, Inc.",,
NASDAQ,MORN,"Morningstar, Inc. - Common Stock",Financial Services,Financial Data & Stock Exchanges
NYSE,WOR,"Worthington Enterprises, Inc. Common Shares",Industrials,Metal Fabrication
NYSE,BR,"Broadridge Financial Solutions, Inc. Common Stock",Technology,Information Technology Services
NASDAQ,PFG,Principal Financial Group Inc - Common Stock,Financial Services,Asset Management
NASDAQ,RNST,Renasant Corporation - Common Stock,Financial Services,Banks - Regional
NYSE,SI,Silvergate Capital Corporation Class A Common Stock,,
NYSE,AXS,Axis Capital Holdings Limited Common Stock,Financial Services,Insurance - Specialty
NYSE,APG,APi Group Corporation Common Stock,Industrials,Engineering & Construction
NASDAQ,MESO,Mesoblast Limited - American Depositary Shares,Healthcare,Biotechnology
NYSE,OUT,OUTFRONT Media Inc. Common Stock,Real Estate,REIT - Specialty
NYSE,SO,Southern Company (The) Common Stock,Utilities,Utilities - Regulated Electric
NASDAQ,TCBI,"Texas Capital Bancshares, Inc. - Common Stock",Financial Services,Banks - Regional
NASDAQ,IPWR,Ideal Power Inc. - Common Stock,Industrials,Electrical Equipment & Parts
NASDAQ,NSIT,"Insight Enterprises, Inc. - Common Stock",Technology,Electronics & Computer Distribution
NASDAQ,AMED,Amedisys Inc - Common Stock,,
NYSE,RTX,RTX Corporation Common Stock,Industrials,Aerospace & Defense
NASDAQ,HCDI,"Harbor Custom Development, Inc. - Common Stock",,
NASDAQ,AIH,Aesthetic Medical International Holdings Group Ltd. - American Depositary Shares,,
NASDAQ,AMSWA,"American Software, Inc. - Class A Common Stock",Technology,Software - Application
NYSE,CODI,D/B/A Compass Diversified Holdings Shares of Beneficial Interest,Industrials,Conglomerates
NYSE,MGM,MGM Resorts International Common Stock,Consumer Cyclical,Resorts & Casinos
NASDAQ,FPAY,"FlexShopper, Inc. - Common Stock",Industrials,Rental & Leasing Services
NYSE,UE,Urban Edge Properties Common Shares of Beneficial Interest,Real Estate,REIT - Retail
OTC,FALC,Falconstor Software,,
NASDAQ,ISRG,"Intuitive Surgical, Inc. - Common Stock",Healthcare,Medical Instruments & Supplies
NYSE,AES,The AES Corporation Common Stock,Utilities,Utilities - Diversified
NASDAQ,ENTG,"Entegris, Inc. - Common Stock",Technology,Semiconductor Equipment & Materials
NYSE,SPB,"Spectrum Brands Holdings, Inc. Common Stock",Consumer Defensive,Household & Personal Products
NYSE,COF,Capital One Financial Corporation Common Stock,Financial Services,Credit Services
NASDAQ,CLXT,"Calyxt, Inc. - Common Stock",,
NYSE,PINE,"Alpine Income Property Trust, Inc. Common Stock",Real Estate,REIT - Retail
NYSE,UPH,"UpHealth, Inc. Common Stock",Healthcare,Health Information Services
NASDAQ,TKNO,"Alpha Teknova, Inc. - Common Stock",Healthcare,Drug Manufacturers - Specialty & Generic
NYSE,BHG,"Bright Health Group, Inc. Common Stock",Healthcare,Healthcare Plans
OTC,ICCT,Icoreconnect Inc,,
NASDAQ,TVTY,"Tivity Health, Inc. - Common Stock",,
NASDAQ,WDC,Western Digital Corporation - Common Stock,Technology,Computer Hardware
NYSE,FUN,Six Flags Entertainment Corporation Common Stock New,Consumer Cyclical,Leisure
NYSE,SBH,"Sally Beauty Holdings, Inc. (Name to be changed from Sally Holdings, Inc.) Common Stock",Consumer Cyclical,Specialty Retail
TSX,BIPC,Brookfield Infrastructure Corporation,,
NASDAQ,MCLD,mCloud Technologies Corp. - Common Shares,,
NYSE,KMT,Kennametal Inc. Common Stock,Industrials,Tools & Accessories
NYSE,XPO,"XPO, Inc. Common Stock",Industrials,Trucking
TSX,ADN,Acadian Timber Corp.,Basic Materials,Lumber & Wood Production
NYSE,BAX,Baxter International Inc. Common Stock,Healthcare,Medical Instruments & Supplies
NASDAQ,PLUG,"Plug Power, Inc. - Common Stock",Industrials,Electrical Equipment & Parts
NASDAQ,CGNT,Cognyte Software Ltd. - Ordinary Shares,Technology,Software - Infrastructure
NYSE,USM,United States Cellular Corporation Common Stock,Communication Services,Telecom Services
NYSE,ATCO,Atlas Corp. Common Shares,,
NASDAQ,ALGT,Allegiant Travel Company - Common Stock,Industrials,Airlines
NYSE,PEAK,"Healthpeak Properties, Inc. Common Stock",Real Estate,REIT - Healthcare Facilities
NASDAQ,YNDX,Yandex N.V.,,
NASDAQ,APYX,Apyx Medical Corporation - Common Stock,Healthcare,Medical Devices
NYSE,MSA,MSA Safety Incorporated Common Stock,Industrials,Security & Protection Services
NASDAQ,SLM,SLM Corporation - Common Stock,Financial Services,Credit Services
TSX,CLIQ,Alcanna Inc.,,
NYSE,PVH,PVH Corp. Common Stock,Consumer Cyclical,Apparel Manufacturing
NYSE,CE,Celanese Corporation Common Stock,Basic Materials,Chemicals
NASDAQ,LSEA,Landsea Homes Corporation - Common Stock,Real Estate,Real Estate - Development
NYSE,KMX,CarMax Inc,Consumer Cyclical,Auto & Truck Dealerships
NASDAQ,DH,Definitive Healthcare Corp. - Class A Common Stock,Healthcare,Health Information Services
NASDAQ,RMBL,"RumbleOn, Inc. - Class B Common Stock",Consumer Cyclical,Auto & Truck Dealerships
NYSE,PING,Ping Identity Holding Corp. Common Stock,,
TSX,AXU,Alexco Resource Corp.,,
NYSE,PII,Polaris Inc. Common Stock,Consumer Cyclical,Recreational Vehicles
NASDAQ,IGIC,International General Insurance Holdings Ltd. - Ordinary Shares,Financial Services,Insurance - Diversified
NYSE,NYCB,"New York Community Bancorp, Inc. Common Stock",Financial Services,Banks - Regional
TSX,GCL,Colabor Group Inc.,Consumer Defensive,Food Distribution
NASDAQ,BILI,Bilibili Inc. - American Depositary Shares,Communication Services,Electronic Gaming & Multimedia
NASDAQ,GBDC,"Golub Capital BDC, Inc. - Closed End Fund",Financial Services,Asset Management
NYSE,VIAO,"VIA optronics AG American Depositary Shares, each representing one-fifth of an Ordinary Share",,
NASDAQ,RCKY,"Rocky Brands, Inc. - Common Stock",Consumer Cyclical,Footwear & Accessories
NASDAQ,SMED,Sharps Compliance Corp. - Common Stock,,
NASDAQ,MOTS,"Motus GI Holdings, Inc. - Common Stock",,
NYSE,DAR,Darling Ingredients Inc. Common Stock,Consumer Defensive,Packaged Foods
NASDAQ,MTCH,"Match Group, Inc. - Common Stock",Communication Services,Internet Content & Information
NASDAQ,EAST,"Eastside Distilling, Inc. - Common Stock",Consumer Defensive,Beverages - Wineries & Distilleries
NYSE,FOE,Ferro Corporation,,
NYSE,YSG,"Yatsen Holding Limited American Depositary Shares, each representing twenty (20) Class A Ordinary Shares",Consumer Defensive,Household & Personal Products
NASDAQ,FLL,"Full House Resorts, Inc. - Common Stock",Consumer Cyclical,Resorts & Casinos
NYSE,LL,"LL Flooring Holdings, Inc. Common Stock",Consumer Cyclical,Home Improvement Retail
NASDAQ,FNKO,"Funko, Inc. - Class A Common Stock",Consumer Cyclical,Leisure
NYSE,DNB,"Dun & Bradstreet Holdings, Inc. Common Stock",Financial Services,Financial Data & Stock Exchanges
NYSE,WLKP,Westlake Chemical Partners LP Common Units representing limited partner interests,Basic Materials,Chemicals
NASDAQ,ULTA,"Ulta Beauty, Inc. - Common Stock",Consumer Cyclical,Specialty Retail
NYSE,AEE,Ameren Corporation Common Stock,Utilities,Utilities - Regulated Electric
NASDAQ,ATRA,"Atara Biotherapeutics, Inc. - Common Stock",Healthcare,Biotechnology
TSXV,ROI,Route1 Inc.,Technology,Software - Application
NASDAQ,SAVA,"Cassava Sciences, Inc. - Common Stock",Healthcare,Biotechnology
NASDAQ,KBNT,"Kubient, Inc. - Common Stock",,
NASDAQ,EOSE,"Eos Energy Enterprises, Inc. - Common Stock",Industrials,Electrical Equipment & Parts
NASDAQ,INFN,Infinera Corporation - Common Stock,Technology,Communication Equipment
NASDAQ,DNUT,"Krispy Kreme, Inc. - Common Stock",Consumer Defensive,Grocery Stores
TSX,VOYG,Voyager Digital Ltd.,,
NYSE,TROX,Tronox Holdings plc Ordinary Shares (UK),Basic Materials,Chemicals
NYSE,CMRE,Costamare Inc. Common Stock $0.0001 par value,Industrials,Marine Shipping
NASDAQ,RCM,R1 RCM Inc. - Common Stock,Healthcare,Health Information Services
NYSE,DFIN,"Donnelley Financial Solutions, Inc. Common Stock ",Technology,Software - Application
NASDAQ,TACO,"Del Taco Restaurants, Inc.",,
NASDAQ,DRIO,DarioHealth Corp. - Common Stock,Healthcare,Health Information Services
NASDAQ,ADI,"Analog Devices, Inc. - Common Stock",Technology,Semiconductors
NYSE,PLYM,"Plymouth Industrial REIT, Inc. Common Stock",Real Estate,REIT - Industrial
NYSE,COLD,"Americold Realty Trust, Inc. Common Stock",Real Estate,REIT - Industrial
TSX,AVNT,Avant Brands Inc.,Healthcare,Drug Manufacturers - Specialty & Generic
NYSE,FRT,Federal Realty Investment Trust Common Stock,Real Estate,REIT - Retail
TSX,CAR.UN,Canadian Apartment Properties Real Estate Investment Trust,Real Estate,REIT - Residential
NYSE,CSR,D/B/A Centerspace Common Stock,Real Estate,REIT - Residential
NASDAQ,NVTS,Navitas Semiconductor Corporation - Common Stock,Technology,Semiconductors
NYSE,GLOP,GasLog Partners LP Common Units representing limited partnership interests,,
NYSE,WRE,Washington Real Estate Investment Trust Common Stock,,
NASDAQ,ALHC,"Alignment Healthcare, Inc. - Common Stock",Healthcare,Healthcare Plans
NASDAQ,LYTS,LSI Industries Inc. - Common Stock,Technology,Electronic Components
NASDAQ,RMR,The RMR Group Inc. - Class A Common Stock,Real Estate,Real Estate Services
NASDAQ,PDCE,"PDC Energy, Inc. - Common Stock",,
NASDAQ,MIND,"MIND Technology, Inc. - Common Stock",Technology,Scientific & Technical Instruments
NYSE,CANG,"Cango Inc. American Depositary Shares,  each representing two (2) Class A Ordinary Shares",Consumer Cyclical,Auto & Truck Dealerships
NYSE,BSM,"Black Stone Minerals, L.P. Common units representing limited partner interests",Energy,Oil & Gas E&P
NASDAQ,ENPH,"Enphase Energy, Inc. - Common Stock",Technology,Solar
NASDAQ,ON,ON Semiconductor Corporation - Common Stock,Technology,Semiconductors
NASDAQ,KDP,Keurig Dr Pepper Inc. - Common Stock,Consumer Defensive,Beverages - Non-Alcoholic
NYSE,KBR,"KBR, Inc. Common Stock",Industrials,Engineering & Construction
NASDAQ,BPMC,Blueprint Medicines Corporation - Common Stock,Healthcare,Biotechnology
NYSE,RKT,"Rocket Companies, Inc. Class A Common Stock",Financial Services,Mortgage Finance
NYSE,LLY,Eli Lilly and Company Common Stock,Healthcare,Drug Manufacturers - General
NASDAQ,MRCC,Monroe Capital Corporation - Closed End Fund,Financial Services,Asset Management
NASDAQ,SPRO,"Spero Therapeutics, Inc. - Common Stock",Healthcare,Biotechnology
NASDAQ,CAMP,CalAmp Corp. - Common Stock,Technology,Communication Equipment
NYSE,VET,Vermilion Energy Inc. Common (Canada),Energy,Oil & Gas E&P
NASDAQ,FLDM,Fluidigm Corporation,,
NASDAQ,TSHA,"Taysha Gene Therapies, Inc. - Common Stock",Healthcare,Biotechnology
NYSE,HR,Healthcare Realty Trust Incorporated Common Stock,Real Estate,REIT - Healthcare Facilities
NYSE,REZI,"Resideo Technologies, Inc. Common Stock ",Industrials,Industrial Distribution
NYSE,ATKR,Atkore Inc. Common Stock,Industrials,Electrical Equipment & Parts
NYSE,QS,QuantumScape Corporation Class A Common Stock,Consumer Cyclical,Auto Parts
NYSE,NVS,Novartis AG,,
NYSE,NEE,"NextEra Energy, Inc. Common Stock",Utilities,Utilities - Regulated Electric
NYSE,MPLX,MPLX LP Common Units Representing Limited Partner Interests,Energy,Oil & Gas Midstream
NASDAQ,BSY,"Bentley Systems, Incorporated - Class B Common Stock",Technology,Software - Application
NASDAQ,VLDR,"Velodyne Lidar, Inc. - Common Stock",,
NASDAQ,TCDA,"Tricida, Inc. - Common Stock",,
NYSE,BZH,"Beazer Homes USA, Inc. Common Stock",Consumer Cyclical,Residential Construction
NASDAQ,ALTO,"Alto Ingredients, Inc. - Common Stock",Basic Materials,Specialty Chemicals
TSX,EQX,Equinox Gold Corp.,,
NYSE,RAAS,"Cloopen Group Holding Limited American Depositary Shares, each representing two Class A Ordinary Shares",,
NASDAQ,VERI,"Veritone, Inc. - Common Stock",Technology,Software - Infrastructure
NASDAQ,ULH,"Universal Logistics Holdings, Inc. - Common Stock",Industrials,Trucking
NASDAQ,DISH,DISH Network Corporation - Class A Common Stock,Communication Services,Telecom Services
AMEX,SMTS,Sierra Metals Inc. Common Stock,,
NASDAQ,SWIM,"Latham Group, Inc. - Common Stock",Industrials,Building Products & Equipment
NASDAQ,BELFA,Bel Fuse Inc. - Class A Common Stock,Technology,Electronic Components
NASDAQ,RDUS,"Radius Recycling, Inc. - Class A Common Stock",Basic Materials,Steel
NYSE,MGY,Magnolia Oil & Gas Corporation Class A Common Stock,Energy,Oil & Gas E&P
TSX,DPM,Dundee Precious Metals Inc.,Basic Materials,Gold
NYSE,MIXT,"MiX Telematics Limited American Depositary Shares, each representing 25 Ordinary Shares",Technology,Software - Application
NYSE,ETRN,Equitrans Midstream Corporation Common Stock ,Energy,Oil & Gas Midstream
NYSE,HMLP,Hoegh LNG Partners LP Common Units representing Limited Partner Interests,,
NYSE,EPAM,"EPAM Systems, Inc. Common Stock",Technology,Information Technology Services
NASDAQ,NOVN,"Novan, Inc. - Common Stock",,
NASDAQ,NDLS,Noodles & Company - Common Stock,Consumer Cyclical,Restaurants
OTC,XSHLF,Xs Financial Inc Voting,Financial Services,Credit Services
NYSE,RJF,"Raymond James Financial, Inc. Common Stock",Financial Services,Asset Management
NASDAQ,LIVN,LivaNova PLC - Ordinary Shares,Healthcare,Medical Devices
NYSE,AVD,American Vanguard Corporation Common Stock ($0.10 Par Value),Basic Materials,Agricultural Inputs
NASDAQ,KALA,"Kala Pharmaceuticals, Inc. - Common Stock",,
TSX,SIA,Sienna Senior Living Inc.,Healthcare,Medical Care Facilities
NASDAQ,AMGN,Amgen Inc. - Common Stock,Healthcare,Drug Manufacturers - General
NASDAQ,BMBL,Bumble Inc. - common stock,Technology,Software - Application
NASDAQ,SABR,Sabre Corporation - Common Stock,Technology,Software - Infrastructure
NYSE,RGA,"Reinsurance Group of America, Incorporated Common Stock",Financial Services,Insurance - Reinsurance
NYSE,EPRT,"Essential Properties Realty Trust, Inc. Common Stock",Real Estate,REIT - Diversified
NASDAQ,LZ,"LegalZoom.com, Inc. - Common Stock",Industrials,Specialty Business Services
TSX,INQ,INSCAPE Corporation,,
NYSE,PHR,"Phreesia, Inc. Common Stock",Healthcare,Health Information Services
TSX,AT,AcuityAds Holdings Inc.,,
NASDAQ,INM,InMed Pharmaceuticals Inc. - Common Shares,,
NASDAQ,CVBF,CVB Financial Corporation - Common Stock,Financial Services,Banks - Regional
NYSE,MHO,"M/I Homes, Inc. Common Stock",Consumer Cyclical,Residential Construction
NASDAQ,MF,Missfresh Limited,,
NASDAQ,EWBC,"East West Bancorp, Inc. - Common Stock",Financial Services,Banks - Regional
NYSE,IBP,"Installed Building Products, Inc. Common Stock",Consumer Cyclical,Residential Construction
NASDAQ,MORF,"Morphic Holding, Inc. - Common Stock",Healthcare,Biotechnology
NYSE,WMC,Western Asset Mortgage Capital Corporation Common Stock,Real Estate,REIT - Mortgage
NASDAQ,VFF,"Village Farms International, Inc. - Common Shares",Consumer Defensive,Farm Products
NASDAQ,GBOX,Greenbox POS - Common Stock,,
NASDAQ,PROG,"Progenity, Inc. - Common Stock",,
NASDAQ,XP,XP Inc. - Class A Common Stock,Financial Services,Capital Markets
NASDAQ,BPOP,"Popular, Inc. - Common Stock",Financial Services,Banks - Regional
NYSE,FR,"First Industrial Realty Trust, Inc. Common Stock",Real Estate,REIT - Industrial
NASDAQ,MNTS,Momentus Inc. - Class A Common Stock,Industrials,Aerospace & Defense
NASDAQ,MYPS,"PLAYSTUDIOS, Inc.  - Class A Common Stock",Communication Services,Electronic Gaming & Multimedia
NYSE,CNMD,CONMED Corporation Common Stock,Healthcare,Medical Devices
NASDAQ,TLMD,"SOC Telemed, Inc.",,
TSX,VLNS,The Valens Company Inc.,,
NYSE,MTZ,"MasTec, Inc. Common Stock",Industrials,Engineering & Construction
NYSE,WBT,"Welbilt, Inc.",,
NYSE,TISI,"Team, Inc. Common Stock",Industrials,Specialty Business Services
NYSE,INFA,Informatica Inc. Class A Common Stock,Technology,Software - Infrastructure
NASDAQ,ENDP,Endo International plc - Ordinary Shares,,
NASDAQ,LTCH,"Latch, Inc. - Common Stock",,
NYSE,BVN,Buenaventura Mining Company Inc.,Basic Materials,Other Precious Metals & Mining
NYSE,UGI,UGI Corporation Common Stock,Utilities,Utilities - Regulated Gas
NYSE,TUP,Tupperware Brands Corporation Common Stock,,
NASDAQ,ARRY,"Array Technologies, Inc. - Common Stock",Technology,Solar
NYSE,FE,FirstEnergy Corp. Common Stock,Utilities,Utilities - Regulated Electric
NYSE,NREF,"NexPoint Real Estate Finance, Inc. Common Stock",Real Estate,REIT - Mortgage
NASDAQ,PATI,"Patriot Transportation Holding, Inc. - Common Stock",Industrials,Trucking
NASDAQ,LTBR,Lightbridge Corporation - Common Stock,Industrials,Electrical Equipment & Parts
NYSE,HUBS,"HubSpot, Inc. Common Stock",Technology,Software - Application
NYSE,PRU,"Prudential Financial, Inc. Common Stock",Financial Services,Insurance - Life
NASDAQ,MITO,Stealth BioTherapeutics Corp.,,
NYSE,BLK,"BlackRock, Inc. Common Stock",Financial Services,Asset Management
AMEX,BRG,"Bluerock Residential Growth REIT, Inc. Class A",,
NASDAQ,JAGX,"Jaguar Health, Inc. - Common Stock",Healthcare,Biotechnology
NASDAQ,SERA,"Sera Prognostics, Inc. - Class A Common Stock",Healthcare,Medical Devices
NASDAQ,FIBK,"First Interstate BancSystem, Inc. - Common Stock",Financial Services,Banks - Regional
NYSE,BK,The Bank of New York Mellon Corporation Common Stock,Financial Services,Banks - Diversified
NASDAQ,EVER,"EverQuote, Inc. - Class A Common Stock",Communication Services,Internet Content & Information
NASDAQ,ADAP,Adaptimmune Therapeutics plc,,
NASDAQ,MAT,"Mattel, Inc. - Common Stock",Consumer Cyclical,Leisure
NASDAQ,TRNS,"Transcat, Inc. - Common Stock",Industrials,Industrial Distribution
NYSE,CMCM,"Cheetah Mobile Inc. American Depositary Shares, each representing fifty (50) Class A Ordinary Shares",Communication Services,Internet Content & Information
NYSE,PSX,Phillips 66 Common Stock,Energy,Oil & Gas Refining & Marketing
NYSE,RCI,"Rogers Communication, Inc. Common Stock",Communication Services,Telecom Services
NYSE,AMC,"AMC Entertainment Holdings, Inc. Class A Common Stock",Communication Services,Entertainment
AMEX,VNRX,VolitionRX Limited Common Stock,Healthcare,Diagnostics & Research
NYSE,YRD,"Yiren Digital Ltd. American Depositary Shares, each representing two ordinary shares",Financial Services,Credit Services
TSXV,ROMJ,Rubicon Organics Inc.,Healthcare,Drug Manufacturers - Specialty & Generic
NASDAQ,RELL,"Richardson Electronics, Ltd. - Common Stock",Technology,Electronic Components
NASDAQ,GSHD,"Goosehead Insurance, Inc. - Class A Common Stock",Financial Services,Insurance - Diversified
NYSE,STVN,Stevanato Group S.p.A. Ordinary Shares,Healthcare,Medical Instruments & Supplies
NYSE,DVA,DaVita Inc. Common Stock,Healthcare,Medical Care Facilities
NYSE,HES,Hess Corporation Common Stock,Energy,Oil & Gas E&P
NASDAQ,AFIB,"Acutus Medical, Inc. - Common Stock",Healthcare,Medical Devices
NYSE,GMRE,Global Medical REIT Inc. Common Stock,Real Estate,REIT - Healthcare Facilities
NASDAQ,TXG,"10x Genomics, Inc. - Common Stock",Healthcare,Health Information Services
NASDAQ,MRVL,"Marvell Technology, Inc. - Common Stock",Technology,Semiconductors
NASDAQ,ARCB,ArcBest Corporation - Common Stock,Industrials,Trucking
NASDAQ,TRKA,"Troika Media Group, Inc.",,
NYSE,RCL,Royal Caribbean Cruises Ltd. Common Stock,Consumer Cyclical,Travel Services
NASDAQ,RIDE,Lordstown Motors Corp. - Class A Common Stock,,
